family_key,relative_path,version,key_count,charts,objects,ln_targets,exact_head_groups,one_ln_groups,multiple_ln_same_release_groups,multiple_ln_different_release_groups,mixed_object_type_groups,multi_ln_groups,one_endpoint_groups,competing_endpoint_groups,relations,independent_relation_witnesses,repeated_relations,repeated_relation_witnesses,comparable_targets,target_endpoint_supported,uniquely_supported,supported_among_competing,no_comparable,structural_twins,structural_twins_supported,c11_unique_worsened,c11_unique_worsened_supported,micro_comparable_rate,micro_supported_all_rate,micro_supported_comparable_rate,relation_model_elapsed_ms,c11_comparison_elapsed_ms
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,4897,21,20,19,1,0,8,1,20,0,20,21,1,1,2,2,2,0,19,2,2,2,2,0.095238095238,0.095238095238,1,84.8631,194.5913
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,74.016,81.9021
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,45.0441,45.5184
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,1933,1570,902,369,18,515,114,533,387,515,1495,1570,73,75,1201,148,38,110,369,148,148,130,130,0.764968152866,0.094267515924,0.123230641132,43.334,2206.4629
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,10142,3958,2239,1082,317,840,872,1157,1399,840,3277,3958,557,681,2876,1238,745,493,1082,1238,1238,967,967,0.726629610915,0.312784234462,0.430458970793,335.5913,25168.8228
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,69.1304,63.2097
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,4608,3587,1977,861,468,648,315,1116,1329,648,2692,3587,653,895,2726,1548,1137,411,861,1548,1548,1277,1277,0.75996654586,0.431558405353,0.567865003668,116.0792,11644.1822
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,3098,69,56,51,4,1,14,5,55,1,57,69,4,12,18,16,16,0,51,16,16,2,2,0.260869565217,0.231884057971,0.888888888889,12.3703,105.476
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,5400,3000,1746,908,117,721,1055,838,1025,721,2613,3000,286,387,2092,673,275,398,908,673,673,602,602,0.697333333333,0.224333333333,0.321701720841,109.1132,10217.2656
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,1653,296,230,172,55,3,123,58,227,3,233,296,55,63,124,118,118,0,172,118,118,98,98,0.418918918919,0.398648648649,0.951612903226,7.7691,207.5514
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,4579,53,36,19,14,3,36,17,33,3,39,53,14,14,34,28,28,0,19,28,28,25,25,0.641509433962,0.528301886792,0.823529411765,24.0618,128.9511
