family_key,relative_path,version,key_count,charts,view,total_trials,baseline_competing_trials,primary_baseline_alternatives_sum,primary_contextual_alternatives_sum,primary_baseline_alternatives_mean,primary_contextual_alternatives_mean,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,primary_no_comparable_exact_context,primary_comparable_target_unsupported,primary_target_supported_still_competing,primary_target_resolved_unique,primary_unique_wrong_completion,exact_target_supported,lane_supported_but_type_different,contextual_witness_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations,beat_ms_materialization_differences,context_build_ms,exact_match_ms,detailed_artifact_bytes,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate,macro_family_coverage_rate,macro_family_primary_resolution_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedOnly,4218,4162,21589,21589,5.187169629986,5.187169629986,15,16,4162,14,11,0,0,4162,0,0,4176,215,442052,0,0,0,0,0,443.7171,400.0038,49429726,0.996443812233,0.990042674253,0,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedHeld,4218,4162,21589,21292,5.187169629986,5.115809706872,25,17,4150,16,10,7,1,4150,4,0,4166,179,440028,0,0,0,0,0,443.7171,400.0038,49429726,0.994073020389,0.987671882409,0.000961076406,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedPrevious,4218,4162,21589,7565,5.187169629986,1.817635752042,375,219,2499,817,308,328,218,2499,815,302,3316,8,24798,0,0,0,0,0,443.7171,400.0038,49429726,0.911095305832,0.786154575628,0.195819317636,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedPreviousTransition,4218,4162,21589,6834,5.187169629986,1.641999038924,589,192,2255,831,351,540,191,2255,829,347,3086,0,21882,0,0,0,0,0,443.7171,400.0038,49429726,0.86036036036,0.731626363205,0.199183085055,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedNext,4218,4162,21589,7767,5.187169629986,1.866170110524,367,312,2477,706,356,330,310,2477,692,353,3183,7,26220,0,0,0,0,0,443.7171,400.0038,49429726,0.912991939308,0.754623044097,0.166266218164,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedNextTransition,4218,4162,21589,6809,5.187169629986,1.635992311389,617,223,2235,751,392,579,223,2235,737,388,2986,0,22956,0,0,0,0,0,443.7171,400.0038,49429726,0.853722143196,0.707918444761,0.177078327727,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedPrevNext,4218,4162,21589,1664,5.187169629986,0.399807784719,2686,3,131,1220,178,2632,3,131,1218,178,1351,0,2706,0,0,0,0,0,443.7171,400.0038,49429726,0.363205310574,0.320293978189,0.292647765497,N/A,N/A
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedHeldPrevNext,4218,4162,21589,1664,5.187169629986,0.399807784719,2686,3,131,1220,178,2632,3,131,1218,178,1351,0,2706,0,0,0,0,0,443.7171,400.0038,49429726,0.363205310574,0.320293978189,0.292647765497,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedOnly,2583,2330,17167,17167,7.367811158798,7.367811158798,44,54,2330,117,38,0,0,2330,0,0,2447,0,169770,0,0,0,0,0,110.0328,157.0859,29633840,0.982965543941,0.947348044909,0,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedHeld,2583,2330,17167,17167,7.367811158798,7.367811158798,44,54,2330,117,38,0,0,2330,0,0,2447,0,169770,0,0,0,0,0,110.0328,157.0859,29633840,0.982965543941,0.947348044909,0,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedPrevious,2583,2330,17167,4573,7.367811158798,1.962660944206,498,126,998,855,106,351,123,998,762,96,1853,0,11006,0,0,0,0,0,110.0328,157.0859,29633840,0.807200929152,0.717382888115,0.327038626609,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedPreviousTransition,2583,2330,17167,2644,7.367811158798,1.134763948498,821,58,569,977,158,652,55,569,901,153,1546,0,5294,0,0,0,0,0,110.0328,157.0859,29633840,0.682152535811,0.598528842431,0.38669527897,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedNext,2583,2330,17167,4733,7.367811158798,2.031330472103,478,102,1016,846,141,344,99,1016,745,126,1862,0,11170,0,0,0,0,0,110.0328,157.0859,29633840,0.814943863724,0.720867208672,0.31974248927,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedNextTransition,2583,2330,17167,2828,7.367811158798,1.213733905579,829,77,578,918,181,664,76,578,845,167,1496,0,5436,0,0,0,0,0,110.0328,157.0859,29633840,0.679055361982,0.579171506001,0.362660944206,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedPrevNext,2583,2330,17167,1195,7.367811158798,0.512875536481,1439,7,90,974,73,1236,7,90,924,73,1064,0,1714,0,0,0,0,0,110.0328,157.0859,29633840,0.44289585753,0.411924119241,0.396566523605,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,ReducedHeldPrevNext,2583,2330,17167,1195,7.367811158798,0.512875536481,1439,7,90,974,73,1236,7,90,924,73,1064,0,1714,0,0,0,0,0,110.0328,157.0859,29633840,0.44289585753,0.411924119241,0.396566523605,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedOnly,921,885,2424,2424,2.738983050847,2.738983050847,0,0,885,36,0,0,0,885,0,0,921,0,117516,0,0,0,0,0,32.1424,71.5317,10481731,1,1,0,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedHeld,921,885,2424,2424,2.738983050847,2.738983050847,0,0,885,36,0,0,0,885,0,0,921,0,117516,0,0,0,0,0,32.1424,71.5317,10481731,1,1,0,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedPrevious,921,885,2424,1657,2.738983050847,1.872316384181,41,2,730,126,22,29,2,730,102,22,856,0,21790,0,0,0,0,0,32.1424,71.5317,10481731,0.955483170467,0.929424538545,0.115254237288,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedPreviousTransition,921,885,2424,1068,2.738983050847,1.206779661017,204,2,355,258,102,184,2,355,242,102,613,0,2582,0,0,0,0,0,32.1424,71.5317,10481731,0.778501628664,0.665580890337,0.273446327684,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,ReducedNext,921,885,2424,2004,2.738983050847,2.264406779661,30,8,730,126,27,18,8,730,102,27,856,0,21010,0,0,0,0,0,32.1424,71.5317,10481731,0.967426710098,0.929424538545,0.115254237288,N/A,N/A
