view,target_type,original_chord_head_count,reduced_visible_member_count,held_before,baseline_completion_count,trials,baseline_competing_trials,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,contextual_witness_references,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate
ReducedOnly,TapHead,2,1,absent,0,6,0,6,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,2,1,absent,1,1,0,0,0,0,1,0,1,1,1,N/A
ReducedOnly,TapHead,2,1,absent,3,654,654,0,0,654,0,0,108316,1,1,0
ReducedOnly,TapHead,2,1,absent,5,1,0,0,1,0,0,0,188,1,0,N/A
ReducedOnly,TapHead,2,1,absent,6,2857,2857,0,0,2857,0,0,453270,1,1,0
ReducedOnly,TapHead,2,1,absent,7,384,382,0,2,382,0,0,74931,1,0.994791666667,0
ReducedOnly,TapHead,2,1,absent,8,1415,1413,0,2,1413,0,0,236376,1,0.998586572438,0
ReducedOnly,TapHead,2,1,absent,9,1028,1028,0,0,1028,0,0,122844,1,1,0
ReducedOnly,TapHead,2,1,absent,10,96,94,0,2,94,0,0,6548,1,0.979166666667,0
ReducedOnly,TapHead,2,1,absent,11,19,16,0,3,16,0,0,2982,1,0.842105263158,0
ReducedOnly,TapHead,2,1,absent,12,988,988,0,0,988,0,0,222338,1,1,0
ReducedOnly,TapHead,2,1,present,0,3,0,3,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,2,1,present,1,5,0,0,0,0,1,4,5,1,0.2,N/A
ReducedOnly,TapHead,2,1,present,2,2,2,0,0,2,0,0,4,1,1,0
ReducedOnly,TapHead,2,1,present,5,3,0,0,3,0,0,0,424,1,0,N/A
ReducedOnly,TapHead,2,1,present,6,198,198,0,0,198,0,0,22201,1,1,0
ReducedOnly,TapHead,2,1,present,7,8,3,0,5,3,0,0,112,1,0.375,0
ReducedOnly,TapHead,2,1,present,8,21,16,0,5,16,0,0,965,1,0.761904761905,0
ReducedOnly,TapHead,2,1,present,9,88,86,0,2,86,0,0,6989,1,0.977272727273,0
ReducedOnly,TapHead,2,1,present,10,39,37,0,2,37,0,0,2733,1,0.948717948718,0
ReducedOnly,TapHead,2,1,present,11,64,50,0,14,50,0,0,6757,1,0.78125,0
ReducedOnly,TapHead,2,1,present,12,1693,1693,0,0,1693,0,0,307705,1,1,0
ReducedOnly,TapHead,3,2,absent,0,10,0,10,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,3,2,absent,1,9,0,0,0,0,3,6,16,1,0.333333333333,N/A
ReducedOnly,TapHead,3,2,absent,2,252,240,0,12,240,0,0,9106,1,0.952380952381,0
ReducedOnly,TapHead,3,2,absent,3,102,87,0,15,87,0,0,1381,1,0.852941176471,0
ReducedOnly,TapHead,3,2,absent,4,463,436,0,27,436,0,0,18778,1,0.941684665227,0
ReducedOnly,TapHead,3,2,absent,5,4971,4951,0,20,4951,0,0,384620,1,0.995976664655,0
ReducedOnly,TapHead,3,2,absent,6,708,697,0,11,697,0,0,40201,1,0.984463276836,0
ReducedOnly,TapHead,3,2,absent,7,446,413,0,33,413,0,0,16937,1,0.92600896861,0
ReducedOnly,TapHead,3,2,absent,8,653,644,0,9,644,0,0,24759,1,0.986217457887,0
ReducedOnly,TapHead,3,2,absent,9,88,86,0,2,86,0,0,4764,1,0.977272727273,0
ReducedOnly,TapHead,3,2,absent,10,203,203,0,0,203,0,0,18586,1,1,0
ReducedOnly,TapHead,3,2,present,0,21,0,21,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,3,2,present,1,34,0,0,0,0,8,26,74,1,0.235294117647,N/A
ReducedOnly,TapHead,3,2,present,2,51,19,0,32,19,0,0,222,1,0.372549019608,0
ReducedOnly,TapHead,3,2,present,3,52,28,0,24,28,0,0,399,1,0.538461538462,0
ReducedOnly,TapHead,3,2,present,4,103,63,0,40,63,0,0,1604,1,0.611650485437,0
ReducedOnly,TapHead,3,2,present,5,151,113,0,38,113,0,0,3768,1,0.748344370861,0
ReducedOnly,TapHead,3,2,present,6,134,100,0,34,100,0,0,2595,1,0.746268656716,0
ReducedOnly,TapHead,3,2,present,7,275,212,0,63,212,0,0,7656,1,0.770909090909,0
ReducedOnly,TapHead,3,2,present,8,333,291,0,42,291,0,0,9228,1,0.873873873874,0
ReducedOnly,TapHead,3,2,present,9,215,187,0,28,187,0,0,7119,1,0.86976744186,0
ReducedOnly,TapHead,3,2,present,10,213,213,0,0,213,0,0,11912,1,1,0
ReducedOnly,TapHead,4,3,absent,0,57,0,57,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,4,3,absent,1,265,0,0,0,0,159,106,794,1,0.6,N/A
ReducedOnly,TapHead,4,3,absent,2,271,230,0,41,230,0,0,2560,1,0.848708487085,0
ReducedOnly,TapHead,4,3,absent,3,471,416,0,55,416,0,0,9666,1,0.883227176221,0
ReducedOnly,TapHead,4,3,absent,4,5710,5685,0,25,5685,0,0,362039,1,0.995621716287,0
ReducedOnly,TapHead,4,3,absent,5,292,281,0,11,281,0,0,6789,1,0.962328767123,0
ReducedOnly,TapHead,4,3,absent,6,106,103,0,3,103,0,0,2666,1,0.971698113208,0
ReducedOnly,TapHead,4,3,absent,7,15,15,0,0,15,0,0,215,1,1,0
ReducedOnly,TapHead,4,3,absent,8,57,57,0,0,57,0,0,2214,1,1,0
ReducedOnly,TapHead,4,3,present,0,63,0,63,0,0,0,0,0,0,0,N/A
ReducedOnly,TapHead,4,3,present,1,192,0,0,0,0,67,125,270,1,0.348958333333,N/A
ReducedOnly,TapHead,4,3,present,2,229,115,0,114,115,0,0,778,1,0.502183406114,0
ReducedOnly,TapHead,4,3,present,3,206,116,0,90,116,0,0,1269,1,0.563106796117,0
ReducedOnly,TapHead,4,3,present,4,134,95,0,39,95,0,0,1603,1,0.708955223881,0
ReducedOnly,TapHead,4,3,present,5,114,95,0,19,95,0,0,1387,1,0.833333333333,0
