family_key,relative_path,version,key_count,charts,trials,primary_competing_trials,view_observations,pairwise_records,conflict_records,target_vs_wrong_conflicts,donor_references,distinct_coverage_signatures,agreement_build_ms,pairwise_comparison_ms,joint_witness_comparison_ms,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","","ALL",0,1,4218,4162,33744,118104,209,156,983348,15,509.1175,1273.4132,13.9309,0,0,0,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE","","ALL",0,1,2583,2330,20664,72324,88,64,375874,11,227.422,632.5927,6.3564,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","","ALL",0,1,921,885,7368,25788,67,61,283744,10,111.9814,272.784,2.2982,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","","ALL",0,1,1505,1413,12040,42140,99,84,346670,15,160.0302,414.0355,4.2726,0,0,0,0
"KIKUO | KARA KARA KARA NO KARA | XNETT","","ALL",0,1,7918,6868,63344,221704,881,561,983572,22,541.7346,1478.4356,20.3847,0,0,0,0
"MORO | HOLY BITCH | ITZBENJA616","","ALL",0,1,7020,7002,56160,196560,434,280,1548524,10,809.9588,1818.471,16.3991,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","","ALL",0,1,3607,2821,28856,100996,454,322,329194,22,211.9114,642.6936,6.2692,0,0,0,0
"NMK&WATHUE | CELESTIAL AXES | WONKI","","ALL",0,1,2660,2515,21280,74480,206,156,271708,18,152.2329,458.4428,4.3978,0,0,0,0
"NOWISEE | KO INU | RUKA","","ALL",0,1,4599,3466,36792,128772,569,321,232410,22,183.0283,667.6479,7.2865,0,0,0,0
"ORGT | DESTINY | BAIO","","ALL",0,1,1302,1096,10416,36456,128,98,91006,22,52.7967,256.6964,2.5885,0,0,0,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","","ALL",0,1,4027,3829,32216,112756,531,379,643244,17,338.7759,911.4934,7.7602,0,0,0,0
