scope,family_key,joint_kind,trials,left_comparable,right_comparable,joint_comparable,marginal_agreement_trials,marginal_agreement_completions,joint_witness_confirmed,marginal_no_joint_comparable,marginal_joint_unsupported,marginals_disagree_joint_supported,joint_unique_target,joint_unique_wrong
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",PreviousNext,4218,3629,3601,1532,2636,3224,1666,1319,239,0,1220,178
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",HeldPrevNext,4218,4193,1532,1532,1532,1666,1666,0,0,0,1220,178
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",PreviousNext,2583,1762,1754,1144,1277,1496,1245,151,100,0,974,73
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",HeldPrevNext,2583,2539,1144,1144,1144,1245,1245,0,0,0,974,73
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",PreviousNext,921,717,704,275,492,565,279,252,34,0,235,36
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",HeldPrevNext,921,921,275,275,275,279,279,0,0,0,235,36
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",PreviousNext,1505,1234,1258,877,1048,1323,901,208,214,0,822,31
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",HeldPrevNext,1505,1497,877,824,860,866,826,36,4,0,811,11
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",PreviousNext,7918,1472,1699,508,723,818,542,237,39,0,405,69
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",HeldPrevNext,7918,6233,508,357,434,442,363,77,2,0,328,23
family,"MORO | HOLY BITCH | ITZBENJA616",PreviousNext,7020,4862,4794,1820,3030,4359,2238,1545,576,0,1022,389
family,"MORO | HOLY BITCH | ITZBENJA616",HeldPrevNext,7020,7020,1820,1820,1820,2238,2238,0,0,0,1022,389
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",PreviousNext,3607,1365,1432,275,651,1014,332,511,171,0,123,107
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",HeldPrevNext,3607,2335,275,82,143,147,82,65,0,0,74,8
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",PreviousNext,2660,1230,1290,362,625,850,445,304,101,0,190,99
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",HeldPrevNext,2660,2591,362,317,342,407,362,30,15,0,192,80
family,"NOWISEE | KO INU | RUKA",PreviousNext,4599,751,835,175,210,223,178,37,8,0,144,28
family,"NOWISEE | KO INU | RUKA",HeldPrevNext,4599,2870,175,145,152,155,148,7,0,0,140,2
family,"ORGT | DESTINY | BAIO",PreviousNext,1302,495,436,119,186,205,130,70,5,0,87,21
family,"ORGT | DESTINY | BAIO",HeldPrevNext,1302,1125,119,99,109,118,105,10,3,0,82,11
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",PreviousNext,4027,1682,1720,285,617,646,289,338,19,0,203,78
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",HeldPrevNext,4027,3935,285,285,285,289,289,0,0,0,203,78
global,"GLOBAL",PreviousNext,40360,19199,19523,7372,11495,14723,8245,4972,1506,0,5425,1109
global,"GLOBAL",HeldPrevNext,40360,35259,7372,6880,7096,7852,7603,225,24,0,5281,889
