target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,target_resolving_view_count,coverage_signature,trials,primary_competing_trials,unique_wrong_views
LongNoteHead,2,1,absent,0,0,0,00000000,1,0,0
LongNoteHead,2,1,absent,1,1,0,10000000,1,0,1
LongNoteHead,2,1,absent,10,2,0,11000000,6,6,0
LongNoteHead,2,1,absent,10,3,0,11001000,3,3,2
LongNoteHead,2,1,absent,10,3,0,11100000,2,2,1
LongNoteHead,2,1,absent,10,4,0,11001100,3,3,3
LongNoteHead,2,1,absent,10,4,0,11101000,5,5,1
LongNoteHead,2,1,absent,10,4,0,11110000,1,1,2
LongNoteHead,2,1,absent,10,6,0,11111100,4,3,4
LongNoteHead,2,1,absent,10,6,2,11111100,2,2,0
LongNoteHead,2,1,absent,11,2,0,11000000,16,15,0
LongNoteHead,2,1,absent,11,3,0,11001000,4,4,0
LongNoteHead,2,1,absent,11,3,0,11100000,4,4,3
LongNoteHead,2,1,absent,11,4,0,11001100,10,10,10
LongNoteHead,2,1,absent,11,4,0,11101000,16,16,5
LongNoteHead,2,1,absent,11,4,0,11110000,7,6,2
LongNoteHead,2,1,absent,11,4,1,11101000,1,1,1
LongNoteHead,2,1,absent,11,4,2,11001100,1,1,0
LongNoteHead,2,1,absent,11,5,0,11101100,7,7,7
LongNoteHead,2,1,absent,11,5,0,11111000,4,4,8
LongNoteHead,2,1,absent,11,5,1,11101100,1,1,2
LongNoteHead,2,1,absent,11,6,0,11111100,7,7,15
LongNoteHead,2,1,absent,11,6,2,11111100,2,2,0
LongNoteHead,2,1,absent,11,7,0,11111110,1,1,4
LongNoteHead,2,1,absent,12,2,0,11000000,35,35,0
LongNoteHead,2,1,absent,12,3,0,11001000,13,13,8
LongNoteHead,2,1,absent,12,3,0,11100000,14,14,5
LongNoteHead,2,1,absent,12,3,1,11100000,3,3,0
LongNoteHead,2,1,absent,12,4,0,11001100,15,15,13
LongNoteHead,2,1,absent,12,4,0,11101000,31,31,12
LongNoteHead,2,1,absent,12,4,0,11110000,8,8,9
LongNoteHead,2,1,absent,12,4,1,11001100,1,1,0
LongNoteHead,2,1,absent,12,4,1,11101000,2,2,1
LongNoteHead,2,1,absent,12,4,2,11001100,4,4,0
LongNoteHead,2,1,absent,12,5,0,11101100,19,19,21
LongNoteHead,2,1,absent,12,5,0,11111000,6,6,10
LongNoteHead,2,1,absent,12,5,1,11101100,1,1,0
LongNoteHead,2,1,absent,12,5,1,11111000,2,2,2
LongNoteHead,2,1,absent,12,5,2,11111000,1,1,0
LongNoteHead,2,1,absent,12,6,0,11111100,12,12,13
LongNoteHead,2,1,absent,12,6,1,11111100,2,2,2
LongNoteHead,2,1,absent,12,6,2,11111100,2,2,1
LongNoteHead,2,1,absent,12,7,0,11111110,1,1,1
