left_view,right_view,pair_kind,trials,left_comparable,right_comparable,both_comparable,left_only,right_only,neither,equal_completion_sets,overlap,disjoint,both_support_target,unique_same_target,unique_same_wrong,unique_conflict,donor_sets_identical,donor_sets_left_subset,donor_sets_right_subset,donor_sets_partial,donor_sets_disjoint,donor_empty_or_not_comparable
ReducedOnly,ReducedHeld,DependencyOrNesting,40360,39596,35259,35259,4337,0,764,20735,14524,0,31414,567,248,0,102642,0,40183,0,0,103097
ReducedOnly,ReducedPrevious,DependencyOrNesting,40360,39596,28039,28039,11557,0,764,715,27324,0,21686,321,33,0,1718,0,58106,0,0,186098
ReducedOnly,ReducedPreviousTransition,DependencyOrNesting,40360,39596,19199,19199,20397,0,764,302,18897,0,14625,231,13,0,592,0,32703,0,0,212627
ReducedOnly,ReducedNext,DependencyOrNesting,40360,39596,28163,28163,11433,0,764,1252,26911,0,21746,397,36,0,2126,0,59428,0,0,184368
ReducedOnly,ReducedNextTransition,DependencyOrNesting,40360,39596,19523,19523,20073,0,764,318,19205,0,14655,227,14,0,667,0,33877,0,0,211378
ReducedOnly,ReducedPrevNext,DependencyOrNesting,40360,39596,7372,7372,32224,0,764,133,7239,0,6193,133,0,0,192,0,8053,0,0,237677
ReducedOnly,ReducedHeldPrevNext,DependencyOrNesting,40360,39596,6880,6880,32716,0,764,133,6747,0,5955,133,0,0,162,0,7441,0,0,238319
ReducedHeld,ReducedPrevious,CrossDimension,40360,35259,28039,26883,8376,1156,3945,1614,23776,1493,20758,1060,135,539,2091,320,41829,2156,3082,103693
ReducedHeld,ReducedPreviousTransition,CrossDimension,40360,35259,19199,18729,16530,470,4631,1060,16843,826,14204,880,66,327,824,88,26680,705,1254,117018
ReducedHeld,ReducedNext,CrossDimension,40360,35259,28163,26862,8397,1301,3800,2074,23062,1726,20583,1144,67,624,1805,398,41414,2484,3568,105041
ReducedHeld,ReducedNextTransition,CrossDimension,40360,35259,19523,18884,16375,639,4462,948,16870,1066,14094,820,38,434,705,69,26315,1067,1522,118013
ReducedHeld,ReducedPrevNext,CrossDimension,40360,35259,7372,7294,27965,78,5023,634,6462,198,6116,625,7,95,276,12,7165,150,249,135366
ReducedHeld,ReducedHeldPrevNext,DependencyOrNesting,40360,35259,6880,6880,28379,0,5101,583,6297,0,5955,577,6,0,288,0,7315,0,0,135222
ReducedPrevious,ReducedPreviousTransition,DependencyOrNesting,40360,28039,19199,19199,8840,0,12321,12792,6407,0,14625,4148,1528,0,19177,0,14118,0,0,26529
ReducedPrevious,ReducedNext,CrossDimension,40360,28039,28163,23352,4687,4811,7510,3780,15990,3582,16466,2343,201,1302,3175,2894,2806,8021,12995,61596
ReducedPrevious,ReducedNextTransition,CrossDimension,40360,28039,19523,17110,10929,2413,9908,2936,11248,2926,11931,2023,136,1054,1776,1002,3168,4727,8291,56440
ReducedPrevious,ReducedPrevNext,DependencyOrNesting,40360,28039,7372,7372,20667,0,12321,2145,5227,0,6193,1899,80,0,1841,0,6404,0,0,51579
ReducedPrevious,ReducedHeldPrevNext,DependencyOrNesting,40360,28039,6880,6880,21159,0,12321,2025,4855,0,5955,1826,55,0,1648,0,5955,0,0,52221
ReducedPreviousTransition,ReducedNext,CrossDimension,40360,19199,28163,16905,2294,11258,9903,2861,11205,2839,11776,2065,142,1033,1782,2935,1073,4666,8448,57041
ReducedPreviousTransition,ReducedNextTransition,CrossDimension,40360,19199,19523,14067,5132,5456,15705,3131,8364,2572,9706,2296,199,1100,1750,1477,1585,3433,6478,38393
ReducedPreviousTransition,ReducedPrevNext,DependencyOrNesting,40360,19199,7372,7372,11827,0,21161,3258,4114,0,6193,2742,252,0,3227,0,5018,0,0,25050
ReducedPreviousTransition,ReducedHeldPrevNext,DependencyOrNesting,40360,19199,6880,6880,12319,0,21161,3036,3844,0,5955,2637,188,0,2912,0,4691,0,0,25692
ReducedNext,ReducedNextTransition,DependencyOrNesting,40360,28163,19523,19523,8640,0,12197,12656,6867,0,14655,4104,1596,0,19410,0,15134,0,0,27010
ReducedNext,ReducedPrevNext,DependencyOrNesting,40360,28163,7372,7372,20791,0,12197,1970,5402,0,6193,1784,74,0,1927,0,6318,0,0,53309
ReducedNext,ReducedHeldPrevNext,DependencyOrNesting,40360,28163,6880,6880,21283,0,12197,1908,4972,0,5955,1750,51,0,1724,0,5879,0,0,53951
ReducedNextTransition,ReducedPrevNext,DependencyOrNesting,40360,19523,7372,7372,12151,0,20837,3060,4312,0,6193,2604,231,0,3335,0,4910,0,0,26299
ReducedNextTransition,ReducedHeldPrevNext,DependencyOrNesting,40360,19523,6880,6880,12643,0,20837,2871,4009,0,5955,2509,179,0,2961,0,4642,0,0,26941
ReducedPrevNext,ReducedHeldPrevNext,DependencyOrNesting,40360,7372,6880,6880,492,0,32988,6816,64,0,5955,5231,880,0,7441,0,162,0,0,642
