family_key,relative_path,version,key_count,charts,original_objects,exact_head_groups,chord_groups,chord_groups_by_head_count,tap_only_chord_groups,ln_head_only_chord_groups,mixed_tap_ln_chord_groups,groups_with_held_before,completion_trials,distinct_reduced_states,distinct_completion_relations,independent_relation_witnesses,witness_references,distinct_observed_full_states,comparable_trials,no_comparable_reduced_state,exact_target_completion_supported,unique_exact_completion,target_among_competing_completions,comparable_but_target_unsupported,lane_supported_but_type_different,exact_held_context_comparable,exact_held_context_target_supported,held_present_trials,held_present_supported,held_absent_trials,held_absent_supported,tap_target_trials,tap_target_supported,ln_head_target_trials,ln_head_target_supported,trials_by_original_chord_head_count,supported_by_original_chord_head_count,reduced_visible_member_counts,supported_by_reduced_visible_member_count,relation_build_ms,held_out_reconstruction_ms,detailed_artifact_bytes,micro_comparable_rate,micro_supported_all_rate,micro_supported_comparable_rate,micro_unique_rate,micro_competing_rate,micro_unsupported_comparable_rate,macro_family_comparable_rate,macro_family_supported_rate,macro_family_unique_rate,macro_family_competing_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,4897,2181,1502,"2:716;3:373;4:398;5:15",1493,1,8,5,4218,101,348,4218,4218,107,4203,15,4176,14,4162,27,215,4193,4166,12,12,4206,4164,4208,4172,10,4,"2:1432;3:1119;4:1592;5:75","2:1422;3:1116;4:1588;5:50","1:1432;2:1119;3:1592;4:75","1:1422;2:1116;3:1588;4:50",91.4255,1695.9717,10691087,0.996443812233,0.990042674253,0.993576017131,0.003319108582,0.986723565671,0.006423982869,N/A,N/A,N/A,N/A
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,4001,2442,1024,"2:577;3:369;4:68;5:10",1024,0,0,0,2583,177,528,2583,2583,174,2539,44,2447,117,2330,92,0,2539,2447,0,0,2583,2447,2583,2447,0,0,"2:1154;3:1107;4:272;5:50","2:1154;3:1065;4:208;5:20","1:1154;2:1107;3:272;4:50","1:1154;2:1065;3:208;4:20",44.3354,1038.8674,6581377,0.982965543941,0.947348044909,0.963765261914,0.045296167247,0.902051877662,0.036234738086,N/A,N/A,N/A,N/A
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,2241,1733,413,"2:327;3:77;4:9",413,0,0,0,921,14,28,921,921,11,921,0,921,36,885,0,0,921,921,0,0,921,921,921,921,0,0,"2:654;3:231;4:36","2:654;3:231;4:36","1:654;2:231;3:36","1:654;2:231;3:36",13.8328,39.8619,2266031,1,1,1,0.039087947883,0.960912052117,0,N/A,N/A,N/A,N/A
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,1933,1096,668,"2:523;3:121;4:24",54,500,114,533,1505,36,99,1505,1505,40,1503,2,1489,76,1413,14,1328,1497,1460,1140,1135,365,354,223,216,1282,1273,"2:1046;3:363;4:96","2:1042;3:351;4:96","1:1046;2:363;3:96","1:1042;2:351;3:96",39.5176,163.4859,3816958,0.998671096346,0.989368770764,0.990685296075,0.05049833887,0.938870431894,0.009314703925,N/A,N/A,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,10142,5122,2898,"2:1424;3:947;4:445;5:60;6:5;7:17",1225,801,872,1875,7918,587,1906,7918,7918,552,7746,172,6990,122,6868,756,5738,6233,4830,4923,4264,2995,2726,4526,4055,3392,2935,"2:2848;3:2841;4:1780;5:300;6:30;7:119","2:2846;3:2640;4:1248;5:165;7:91","1:2848;2:2841;3:1780;4:300;5:30;6:119","1:2846;2:2640;3:1248;4:165;6:91",185.149,12117.7466,21417312,0.978277342763,0.882798686537,0.902401239349,0.015407931296,0.867390755241,0.097598760651,N/A,N/A,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,8284,3448,2184,"2:583;3:729;4:709;5:147;6:16",2184,0,0,0,7020,119,434,7020,7020,119,7020,0,7002,0,7002,18,0,7020,7002,0,0,7020,7002,7020,7002,0,0,"2:1166;3:2187;4:2836;5:735;6:96","2:1166;3:2187;4:2836;5:735;6:78","1:1166;2:2187;3:2836;4:735;5:96","1:1166;2:2187;3:2836;4:735;5:78",87.0678,3022.6329,17952717,1,0.997435897436,0.997435897436,0,0.997435897436,0.002564102564,N/A,N/A,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,4608,2356,1355,"2:754;3:356;4:202;5:36;6:6;7:1",65,975,315,1126,3607,502,1172,3607,3607,348,3389,218,2886,65,2821,503,1849,2335,1533,2971,2344,636,542,707,297,2900,2589,"2:1508;3:1068;4:808;5:180;6:36;7:7","2:1480;3:864;4:512;5:30","1:1508;2:1068;3:808;4:180;5:36;6:7","1:1480;2:864;3:512;4:30",75.9648,3496.9848,9958856,0.93956196285,0.800110895481,0.851578636766,0.018020515664,0.782090379817,0.148421363234,N/A,N/A,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,3098,1326,888,"2:351;3:273;4:186;5:73;6:5",871,3,14,63,2660,147,405,2660,2660,116,2625,35,2562,47,2515,63,117,2591,2502,154,124,2506,2438,2630,2550,30,12,"2:702;3:819;4:744;5:365;6:30","2:698;3:795;4:720;5:325;6:24","1:702;2:819;3:744;4:365;5:30","1:698;2:795;3:720;4:325;5:24",18.8395,919.2021,6888484,0.986842105263,0.963157894737,0.976,0.017669172932,0.945488721805,0.024,N/A,N/A,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,5400,2424,1623,"2:771;3:489;4:239;5:111;6:12;7:1",204,364,1055,1482,4599,646,1864,4599,4599,535,4396,203,3603,137,3466,793,3158,2870,1790,4123,3325,476,278,1926,1474,2673,2129,"2:1542;3:1467;4:956;5:555;6:72;7:7","2:1538;3:1212;4:576;5:235;6:42","1:1542;2:1467;3:956;4:555;5:72;6:7","1:1538;2:1212;3:576;4:235;5:42",75.2684,6926.2906,13023089,0.955859969559,0.783431180691,0.819608735214,0.029789084584,0.753642096108,0.180391264786,N/A,N/A,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,1653,889,538,"2:343;3:164;4:31",375,40,123,196,1302,124,381,1302,1302,144,1267,35,1113,17,1096,154,618,1125,897,456,378,846,735,1073,953,229,160,"2:686;3:492;4:124","2:654;3:387;4:72","1:686;2:492;3:124","1:654;2:387;3:72",7.3922,349.8988,3379896,0.97311827957,0.854838709677,0.878453038674,0.013056835637,0.84178187404,0.121546961326,N/A,N/A,N/A,N/A
