metric,expected,observed,matches
"charts","11","11",true
"chord_groups","14463","14463",true
"chord_groups_by_head_count","2:6912;3:4381;4:2555;5:540;6:52;7:23","2:6912;3:4381;4:2555;5:540;6:52;7:23",true
"comparable_but_target_unsupported","2516","2516",true
"comparable_trials","39596","39596",true
"completion_trials","40360","40360",true
"distinct_completion_relations","7669","7669",true
"distinct_observed_full_states","2292","2292",true
"distinct_reduced_states","2634","2634",true
"exact_head_groups","24939","24939",true
"exact_held_context_comparable","35259","35259",true
"exact_held_context_target_supported","31414","31414",true
"exact_target_completion_supported","37080","37080",true
"family_key","GLOBAL","GLOBAL",true
"groups_with_held_before","5311","5311",true
"held_absent_supported","25469","25469",true
"held_absent_trials","26497","26497",true
"held_present_supported","11611","11611",true
"held_present_trials","13863","13863",true
"independent_relation_witnesses","40360","40360",true
"key_count","0","0",true
"lane_supported_but_type_different","13424","13424",true
"ln_head_only_chord_groups","2684","2684",true
"ln_head_target_supported","9112","9112",true
"ln_head_target_trials","10569","10569",true
"macro_family_comparable_rate","0.981982469087","0.981982469087",true
"macro_family_competing_rate","0.902474503324","0.902474503324",true
"macro_family_supported_rate","0.924978246886","0.924978246886",true
"macro_family_unique_rate","0.022503743562","0.022503743562",true
"micro_comparable_rate","0.9810703667","0.9810703667",true
"micro_competing_rate","0.901560951437","0.901560951437",true
"micro_supported_all_rate","0.918731417245","0.918731417245",true
"micro_supported_comparable_rate","0.936458228104","0.936458228104",true
"micro_unique_rate","0.017170465808","0.017170465808",true
"micro_unsupported_comparable_rate","0.063541771896","0.063541771896",true
"mixed_tap_ln_chord_groups","2537","2537",true
"no_comparable_reduced_state","764","764",true
"original_objects","50836","50836",true
"reduced_visible_member_counts","1:13824;2:13143;3:10220;4:2700;5:312;6:161","1:13824;2:13143;3:10220;4:2700;5:312;6:161",true
"relative_path","","",true
"supported_by_original_chord_head_count","2:13722;3:12243;4:8844;5:1990;6:162;7:119","2:13722;3:12243;4:8844;5:1990;6:162;7:119",true
"supported_by_reduced_visible_member_count","1:13722;2:12243;3:8844;4:1990;5:162;6:119","1:13722;2:12243;3:8844;4:1990;5:162;6:119",true
"tap_only_chord_groups","9242","9242",true
"tap_target_supported","27968","27968",true
"tap_target_trials","29791","29791",true
"target_among_competing_completions","36387","36387",true
"trials_by_original_chord_head_count","2:13824;3:13143;4:10220;5:2700;6:312;7:161","2:13824;3:13143;4:10220;5:2700;6:312;7:161",true
"unique_exact_completion","693","693",true
"version","ALL","ALL",true
"witness_references","40360","40360",true
