key_count,reduced_head_count,held_before,pair_type,view,trials,comparable,joint_unique,joint_alternatives,target_absent,no_context,target_marginal_only
4,0,false,TapTap,ReducedOnly,347,347,0,347,0,0,0
4,0,false,TapTap,ReducedHeld,347,347,0,347,0,0,0
4,0,false,TapTap,ReducedPrevious,347,346,4,333,9,1,4
4,0,false,TapTap,ReducedPreviousTransition,347,314,49,196,69,33,28
4,0,false,TapTap,ReducedNext,347,346,11,327,8,1,8
4,0,false,TapTap,ReducedNextTransition,347,306,44,202,60,41,25
4,0,false,TapTap,ReducedPrevNext,347,115,94,2,19,232,5
4,0,false,TapTap,ReducedHeldPrevNext,347,115,94,2,19,232,5
4,0,false,TapLongNote,ReducedOnly,33,33,0,32,1,0,1
4,0,false,TapLongNote,ReducedHeld,33,33,0,31,2,0,2
4,0,false,TapLongNote,ReducedPrevious,33,33,0,27,6,0,2
4,0,false,TapLongNote,ReducedPreviousTransition,33,30,0,23,7,3,1
4,0,false,TapLongNote,ReducedNext,33,33,0,28,5,0,2
4,0,false,TapLongNote,ReducedNextTransition,33,31,27,0,4,2,1
4,0,false,TapLongNote,ReducedPrevNext,33,22,22,0,0,11,0
4,0,false,TapLongNote,ReducedHeldPrevNext,33,22,22,0,0,11,0
4,0,false,LongNoteLongNote,ReducedOnly,11,11,0,11,0,0,0
4,0,false,LongNoteLongNote,ReducedHeld,11,11,0,10,1,0,1
4,0,false,LongNoteLongNote,ReducedPrevious,11,10,0,8,2,1,0
4,0,false,LongNoteLongNote,ReducedPreviousTransition,11,10,4,2,4,1,0
4,0,false,LongNoteLongNote,ReducedNext,11,10,2,6,2,1,0
4,0,false,LongNoteLongNote,ReducedNextTransition,11,7,0,5,2,4,0
4,0,false,LongNoteLongNote,ReducedPrevNext,11,0,0,0,0,11,0
4,0,false,LongNoteLongNote,ReducedHeldPrevNext,11,0,0,0,0,11,0
4,0,true,TapTap,ReducedOnly,34,34,0,34,0,0,0
4,0,true,TapTap,ReducedHeld,34,34,0,29,5,0,5
4,0,true,TapTap,ReducedPrevious,34,33,0,22,11,1,3
4,0,true,TapTap,ReducedPreviousTransition,34,30,4,10,16,4,3
4,0,true,TapTap,ReducedNext,34,33,2,20,11,1,1
4,0,true,TapTap,ReducedNextTransition,34,28,10,8,10,6,0
4,0,true,TapTap,ReducedPrevNext,34,10,8,0,2,24,0
4,0,true,TapTap,ReducedHeldPrevNext,34,10,8,0,2,24,0
4,0,true,TapLongNote,ReducedOnly,47,47,0,46,1,0,1
4,0,true,TapLongNote,ReducedHeld,47,47,0,40,7,0,5
4,0,true,TapLongNote,ReducedPrevious,47,45,0,36,9,2,4
4,0,true,TapLongNote,ReducedPreviousTransition,47,39,0,28,11,8,2
4,0,true,TapLongNote,ReducedNext,47,45,0,27,18,2,6
4,0,true,TapLongNote,ReducedNextTransition,47,43,0,17,26,4,3
4,0,true,TapLongNote,ReducedPrevNext,47,19,7,7,5,28,0
4,0,true,TapLongNote,ReducedHeldPrevNext,47,16,11,3,2,31,0
4,0,true,LongNoteLongNote,ReducedOnly,378,378,0,378,0,0,0
4,0,true,LongNoteLongNote,ReducedHeld,378,378,0,378,0,0,0
4,0,true,LongNoteLongNote,ReducedPrevious,378,374,36,316,22,4,9
4,0,true,LongNoteLongNote,ReducedPreviousTransition,378,359,58,265,36,19,13
4,0,true,LongNoteLongNote,ReducedNext,378,376,11,344,21,2,8
4,0,true,LongNoteLongNote,ReducedNextTransition,378,368,43,291,34,10,11
4,0,true,LongNoteLongNote,ReducedPrevNext,378,267,221,18,28,111,0
4,0,true,LongNoteLongNote,ReducedHeldPrevNext,378,229,224,0,5,149,0
4,1,false,TapTap,ReducedOnly,232,232,0,231,1,0,1
4,1,false,TapTap,ReducedHeld,232,232,0,231,1,0,1
4,1,false,TapTap,ReducedPrevious,232,218,0,192,26,14,7
4,1,false,TapTap,ReducedPreviousTransition,232,176,81,48,47,56,12
4,1,false,TapTap,ReducedNext,232,225,20,172,33,7,14
4,1,false,TapTap,ReducedNextTransition,232,172,70,44,58,60,15
4,1,false,TapTap,ReducedPrevNext,232,69,51,0,18,163,6
4,1,false,TapTap,ReducedHeldPrevNext,232,69,51,0,18,163,6
4,1,false,TapLongNote,ReducedOnly,20,20,0,14,6,0,3
4,1,false,TapLongNote,ReducedHeld,20,20,0,12,8,0,3
4,1,false,TapLongNote,ReducedPrevious,20,18,0,0,18,2,1
4,1,false,TapLongNote,ReducedPreviousTransition,20,14,0,0,14,6,1
4,1,false,TapLongNote,ReducedNext,20,18,0,8,10,2,1
4,1,false,TapLongNote,ReducedNextTransition,20,9,2,0,7,11,0
4,1,false,TapLongNote,ReducedPrevNext,20,4,0,0,4,16,0
4,1,false,TapLongNote,ReducedHeldPrevNext,20,4,0,0,4,16,0
4,1,false,LongNoteLongNote,ReducedOnly,120,120,2,116,2,0,1
4,1,false,LongNoteLongNote,ReducedHeld,120,120,2,115,3,0,0
4,1,false,LongNoteLongNote,ReducedPrevious,120,105,29,61,15,15,2
4,1,false,LongNoteLongNote,ReducedPreviousTransition,120,85,34,44,7,35,0
4,1,false,LongNoteLongNote,ReducedNext,120,109,27,79,3,11,0
4,1,false,LongNoteLongNote,ReducedNextTransition,120,92,34,57,1,28,0
4,1,false,LongNoteLongNote,ReducedPrevNext,120,71,65,4,2,49,0
4,1,false,LongNoteLongNote,ReducedHeldPrevNext,120,71,65,4,2,49,0
4,1,true,TapLongNote,ReducedOnly,24,24,0,22,2,0,2
4,1,true,TapLongNote,ReducedHeld,24,24,0,22,2,0,0
4,1,true,TapLongNote,ReducedPrevious,24,22,0,8,14,2,0
4,1,true,TapLongNote,ReducedPreviousTransition,24,21,0,8,13,3,0
4,1,true,TapLongNote,ReducedNext,24,18,0,12,6,6,0
4,1,true,TapLongNote,ReducedNextTransition,24,14,6,0,8,10,0
4,1,true,TapLongNote,ReducedPrevNext,24,4,4,0,0,20,0
4,1,true,TapLongNote,ReducedHeldPrevNext,24,4,4,0,0,20,0
4,1,true,LongNoteLongNote,ReducedOnly,198,198,3,194,1,0,1
4,1,true,LongNoteLongNote,ReducedHeld,198,197,67,130,0,1,0
4,1,true,LongNoteLongNote,ReducedPrevious,198,183,31,123,29,15,12
4,1,true,LongNoteLongNote,ReducedPreviousTransition,198,170,83,56,31,28,5
4,1,true,LongNoteLongNote,ReducedNext,198,181,42,132,7,17,1
4,1,true,LongNoteLongNote,ReducedNextTransition,198,170,49,116,5,28,0
4,1,true,LongNoteLongNote,ReducedPrevNext,198,128,128,0,0,70,0
4,1,true,LongNoteLongNote,ReducedHeldPrevNext,198,128,128,0,0,70,0
4,2,false,TapTap,ReducedOnly,54,54,54,0,0,0,0
4,2,false,TapTap,ReducedHeld,54,54,54,0,0,0,0
4,2,false,TapTap,ReducedPrevious,54,36,36,0,0,18,0
4,2,false,TapTap,ReducedPreviousTransition,54,24,24,0,0,30,0
4,2,false,TapTap,ReducedNext,54,36,36,0,0,18,0
4,2,false,TapTap,ReducedNextTransition,54,24,24,0,0,30,0
4,2,false,TapTap,ReducedPrevNext,54,12,12,0,0,42,0
4,2,false,TapTap,ReducedHeldPrevNext,54,12,12,0,0,42,0
4,2,false,TapLongNote,ReducedOnly,36,36,0,36,0,0,0
4,2,false,TapLongNote,ReducedHeld,36,36,0,36,0,0,0
4,2,false,TapLongNote,ReducedPrevious,36,36,24,12,0,0,0
4,2,false,TapLongNote,ReducedPreviousTransition,36,34,22,11,1,2,0
4,2,false,TapLongNote,ReducedNext,36,33,33,0,0,3,0
4,2,false,TapLongNote,ReducedNextTransition,36,21,21,0,0,15,0
4,2,false,TapLongNote,ReducedPrevNext,36,21,21,0,0,15,0
4,2,false,TapLongNote,ReducedHeldPrevNext,36,21,21,0,0,15,0
4,2,false,LongNoteLongNote,ReducedOnly,108,108,48,60,0,0,0
4,2,false,LongNoteLongNote,ReducedHeld,108,108,48,60,0,0,0
4,2,false,LongNoteLongNote,ReducedPrevious,108,108,108,0,0,0,0
4,2,false,LongNoteLongNote,ReducedPreviousTransition,108,99,99,0,0,9,0
4,2,false,LongNoteLongNote,ReducedNext,108,105,105,0,0,3,0
4,2,false,LongNoteLongNote,ReducedNextTransition,108,87,87,0,0,21,0
4,2,false,LongNoteLongNote,ReducedPrevNext,108,75,75,0,0,33,0
4,2,false,LongNoteLongNote,ReducedHeldPrevNext,108,75,75,0,0,33,0
7,0,false,TapTap,ReducedOnly,2734,2734,0,2731,3,0,3
7,0,false,TapTap,ReducedHeld,2734,2734,0,2718,16,0,16
7,0,false,TapTap,ReducedPrevious,2734,2621,112,1777,732,113,381
7,0,false,TapTap,ReducedPreviousTransition,2734,2063,194,1049,820,671,279
7,0,false,TapTap,ReducedNext,2734,2608,132,1808,668,126,371
7,0,false,TapTap,ReducedNextTransition,2734,2061,186,1068,807,673,270
7,0,false,TapTap,ReducedPrevNext,2734,623,320,73,230,2111,27
7,0,false,TapTap,ReducedHeldPrevNext,2734,613,321,67,225,2121,22
7,0,false,TapLongNote,ReducedOnly,100,100,0,91,9,0,3
7,0,false,TapLongNote,ReducedHeld,100,100,0,51,49,0,41
7,0,false,TapLongNote,ReducedPrevious,100,86,0,22,64,14,20
7,0,false,TapLongNote,ReducedPreviousTransition,100,52,0,8,44,48,5
7,0,false,TapLongNote,ReducedNext,100,87,3,20,64,13,30
7,0,false,TapLongNote,ReducedNextTransition,100,59,2,7,50,41,12
7,0,false,TapLongNote,ReducedPrevNext,100,12,2,0,10,88,1
7,0,false,TapLongNote,ReducedHeldPrevNext,100,10,2,0,8,90,0
7,0,false,LongNoteLongNote,ReducedOnly,111,111,0,108,3,0,2
7,0,false,LongNoteLongNote,ReducedHeld,111,111,0,100,11,0,10
7,0,false,LongNoteLongNote,ReducedPrevious,111,97,2,23,72,14,20
7,0,false,LongNoteLongNote,ReducedPreviousTransition,111,59,0,7,52,52,5
7,0,false,LongNoteLongNote,ReducedNext,111,93,0,29,64,18,24
7,0,false,LongNoteLongNote,ReducedNextTransition,111,67,1,11,55,44,11
7,0,false,LongNoteLongNote,ReducedPrevNext,111,2,0,0,2,109,0
7,0,false,LongNoteLongNote,ReducedHeldPrevNext,111,0,0,0,0,111,0
7,0,true,TapTap,ReducedOnly,634,634,0,627,7,0,7
7,0,true,TapTap,ReducedHeld,634,630,4,354,272,4,148
7,0,true,TapTap,ReducedPrevious,634,484,31,238,215,150,63
7,0,true,TapTap,ReducedPreviousTransition,634,276,33,78,165,358,23
7,0,true,TapTap,ReducedNext,634,499,18,236,245,135,77
7,0,true,TapTap,ReducedNextTransition,634,276,34,89,153,358,27
7,0,true,TapTap,ReducedPrevNext,634,66,16,8,42,568,8
7,0,true,TapTap,ReducedHeldPrevNext,634,22,8,2,12,612,0
7,0,true,TapLongNote,ReducedOnly,741,741,0,718,23,0,20
7,0,true,TapLongNote,ReducedHeld,741,727,7,275,445,14,246
7,0,true,TapLongNote,ReducedPrevious,741,589,30,149,410,152,131
7,0,true,TapLongNote,ReducedPreviousTransition,741,319,33,28,258,422,18
7,0,true,TapLongNote,ReducedNext,741,612,25,154,433,129,137
7,0,true,TapLongNote,ReducedNextTransition,741,320,46,26,248,421,25
7,0,true,TapLongNote,ReducedPrevNext,741,53,23,0,30,688,0
7,0,true,TapLongNote,ReducedHeldPrevNext,741,31,17,0,14,710,0
7,0,true,LongNoteLongNote,ReducedOnly,1165,1165,0,1161,4,0,3
7,0,true,LongNoteLongNote,ReducedHeld,1165,1145,158,592,395,20,215
7,0,true,LongNoteLongNote,ReducedPrevious,1165,1000,28,518,454,165,218
7,0,true,LongNoteLongNote,ReducedPreviousTransition,1165,738,53,296,389,427,134
7,0,true,LongNoteLongNote,ReducedNext,1165,1017,24,543,450,148,208
7,0,true,LongNoteLongNote,ReducedNextTransition,1165,774,62,330,382,391,157
7,0,true,LongNoteLongNote,ReducedPrevNext,1165,223,56,40,127,942,19
7,0,true,LongNoteLongNote,ReducedHeldPrevNext,1165,65,59,0,6,1100,0
7,1,false,TapTap,ReducedOnly,6466,6466,0,6401,65,0,61
7,1,false,TapTap,ReducedHeld,6466,6464,0,6363,101,2,58
7,1,false,TapTap,ReducedPrevious,6466,5803,321,3666,1816,663,769
7,1,false,TapTap,ReducedPreviousTransition,6466,4192,427,2012,1753,2274,465
7,1,false,TapTap,ReducedNext,6466,5778,635,3108,2035,688,894
7,1,false,TapTap,ReducedNextTransition,6466,4066,669,1672,1725,2400,479
7,1,false,TapTap,ReducedPrevNext,6466,1142,483,222,437,5324,50
7,1,false,TapTap,ReducedHeldPrevNext,6466,1137,483,222,432,5329,50
7,1,false,TapLongNote,ReducedOnly,180,180,0,112,68,0,52
7,1,false,TapLongNote,ReducedHeld,180,175,0,58,117,5,61
7,1,false,TapLongNote,ReducedPrevious,180,110,4,18,88,70,19
7,1,false,TapLongNote,ReducedPreviousTransition,180,29,6,2,21,151,0
7,1,false,TapLongNote,ReducedNext,180,107,0,34,73,73,16
7,1,false,TapLongNote,ReducedNextTransition,180,37,6,8,23,143,1
7,1,false,TapLongNote,ReducedPrevNext,180,4,4,0,0,176,0
7,1,false,TapLongNote,ReducedHeldPrevNext,180,4,4,0,0,176,0
7,1,false,LongNoteLongNote,ReducedOnly,383,383,0,354,29,0,20
7,1,false,LongNoteLongNote,ReducedHeld,383,383,0,284,99,0,69
7,1,false,LongNoteLongNote,ReducedPrevious,383,219,7,46,166,164,39
7,1,false,LongNoteLongNote,ReducedPreviousTransition,383,94,7,18,69,289,8
7,1,false,LongNoteLongNote,ReducedNext,383,251,9,78,164,132,64
7,1,false,LongNoteLongNote,ReducedNextTransition,383,124,6,33,85,259,25
7,1,false,LongNoteLongNote,ReducedPrevNext,383,8,2,0,6,375,0
7,1,false,LongNoteLongNote,ReducedHeldPrevNext,383,6,2,0,4,377,0
7,1,true,TapTap,ReducedOnly,789,789,0,641,148,0,136
7,1,true,TapTap,ReducedHeld,789,687,71,210,406,102,61
7,1,true,TapTap,ReducedPrevious,789,544,63,166,315,245,71
7,1,true,TapTap,ReducedPreviousTransition,789,225,68,12,145,564,4
7,1,true,TapTap,ReducedNext,789,507,48,181,278,282,54
7,1,true,TapTap,ReducedNextTransition,789,219,53,21,145,570,13
7,1,true,TapTap,ReducedPrevNext,789,39,30,0,9,750,0
7,1,true,TapTap,ReducedHeldPrevNext,789,34,30,0,4,755,0
7,1,true,TapLongNote,ReducedOnly,1562,1562,0,1164,398,0,364
