case,passed,measured
"k1_d0_semantics",true,4
"same_occurrence_joint_witness",true,1
"target_joint_unique",true,0
"marginal_only_trap",true,4
"cross_donor_not_joint",true,1
"bad_cross_occurrence_positive_control",true,1
"bad_target_leakage_positive_control",true,1
"whole_group_holdout",true,0
"target_observation_holdout",true,0
"future_held_hygiene",true,0
"held_tail_not_head",true,0
"tap_ln_type_identity",true,2
"completion_set_order",true,0
"resulting_state_order",true,0
"no_comparable_abstention",true,1
"hard_invalid_same_lane",true,1
"hard_invalid_existing",true,1
"empty_reduced_state",true,2
"dense_rice_exhaustive_pairs",true,12
"all_eight_views",true,8
"synthetic_teaching_zero",true,0
"cross_chart_zero",true,0
"cross_occurrence_leakage_zero",true,0
"deterministic_rerun",true,0
"multikey_1_4_7_10_18",true,5
"legacy_policy_unchanged",true,1
