baseline_disposition,refinement_id,refined_disposition,transition,count,charts_present,families_present,keymodes_present
Reconstructed,"neighbor-token-only",Reconstructed,PreservedReconstructed,4143,11,11,"4;7;10"
Reconstructed,"plus-exact-held-state",Reconstructed,PreservedReconstructed,4143,11,11,"4;7;10"
Reconstructed,"plus-exact-spacing",Reconstructed,PreservedReconstructed,2427,11,11,"4;7;10"
Reconstructed,"plus-exact-spacing",NoContext,BecameNoContext,1716,11,11,"4;7;10"
Reconstructed,"plus-exact-spacing-held",Reconstructed,PreservedReconstructed,2427,11,11,"4;7;10"
Reconstructed,"plus-exact-spacing-held",NoContext,BecameNoContext,1716,11,11,"4;7;10"
Ambiguous,"neighbor-token-only",Ambiguous,PreservedAmbiguous,6472,11,11,"4;7;10"
Ambiguous,"plus-exact-held-state",Ambiguous,PreservedAmbiguous,6472,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing",Reconstructed,BecameReconstructed,594,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing",Ambiguous,PreservedAmbiguous,2966,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing",Mismatch,BecameMismatch,808,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing",NoContext,BecameNoContext,2104,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing-held",Reconstructed,BecameReconstructed,594,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing-held",Ambiguous,PreservedAmbiguous,2966,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing-held",Mismatch,BecameMismatch,808,11,11,"4;7;10"
Ambiguous,"plus-exact-spacing-held",NoContext,BecameNoContext,2104,11,11,"4;7;10"
Mismatch,"neighbor-token-only",Mismatch,PreservedMismatch,1451,11,11,"4;7;10"
Mismatch,"plus-exact-held-state",Mismatch,PreservedMismatch,1451,11,11,"4;7;10"
Mismatch,"plus-exact-spacing",Mismatch,PreservedMismatch,386,11,11,"4;7;10"
Mismatch,"plus-exact-spacing",NoContext,BecameNoContext,1065,11,11,"4;7;10"
Mismatch,"plus-exact-spacing-held",Mismatch,PreservedMismatch,386,11,11,"4;7;10"
Mismatch,"plus-exact-spacing-held",NoContext,BecameNoContext,1065,11,11,"4;7;10"
NoContext,"neighbor-token-only",NoContext,PreservedNoContext,16224,11,11,"4;7;10"
NoContext,"plus-exact-held-state",NoContext,PreservedNoContext,16224,11,11,"4;7;10"
NoContext,"plus-exact-spacing",NoContext,PreservedNoContext,16224,11,11,"4;7;10"
NoContext,"plus-exact-spacing-held",NoContext,PreservedNoContext,16224,11,11,"4;7;10"
