disposition,property,denominator,count,fraction,charts_present,families_present,keymodes_present
Reconstructed,"serialized_spacing_divergence",4143,2558,0.617427,11,11,"4;7;10"
Reconstructed,"exact_file_beat_spacing_divergence",4143,2875,0.693942,11,11,"4;7;10"
Reconstructed,"held_state_divergence",4143,0,0.000000,0,0,""
Reconstructed,"type_composition_divergence",4143,0,0.000000,0,0,""
Reconstructed,"head_count_divergence",4143,0,0.000000,0,0,""
Reconstructed,"lane_occupancy_divergence",4143,0,0.000000,0,0,""
Reconstructed,"mixed_type_divergence",4143,0,0.000000,0,0,""
Reconstructed,"release_involved_external_context",4143,1681,0.405745,7,7,"4;7"
Reconstructed,"target_release_involved",4143,1450,0.349988,7,7,"4;7"
Reconstructed,"target_held_before",4143,1781,0.429882,7,7,"4;7"
Reconstructed,"endpoint_or_group_collision",4143,80,0.019310,3,3,"4;7"
Reconstructed,"other_pre_holdout_occurrence",4143,4143,1.000000,11,11,"4;7;10"
Ambiguous,"serialized_spacing_divergence",6472,6147,0.949784,11,11,"4;7;10"
Ambiguous,"exact_file_beat_spacing_divergence",6472,6197,0.957509,11,11,"4;7;10"
Ambiguous,"held_state_divergence",6472,0,0.000000,0,0,""
Ambiguous,"type_composition_divergence",6472,5983,0.924444,11,11,"4;7;10"
Ambiguous,"head_count_divergence",6472,5983,0.924444,11,11,"4;7;10"
Ambiguous,"lane_occupancy_divergence",6472,6472,1.000000,11,11,"4;7;10"
Ambiguous,"mixed_type_divergence",6472,41,0.006335,3,3,"4;7"
Ambiguous,"release_involved_external_context",6472,130,0.020087,3,3,"4;7"
Ambiguous,"target_release_involved",6472,10,0.001545,3,3,"4;7"
Ambiguous,"target_held_before",6472,128,0.019778,5,5,"4;7"
Ambiguous,"endpoint_or_group_collision",6472,16,0.002472,5,5,"7"
Ambiguous,"other_pre_holdout_occurrence",6472,6472,1.000000,11,11,"4;7;10"
Mismatch,"serialized_spacing_divergence",1451,1033,0.711923,11,11,"4;7;10"
Mismatch,"exact_file_beat_spacing_divergence",1451,1100,0.758098,11,11,"4;7;10"
Mismatch,"held_state_divergence",1451,0,0.000000,0,0,""
Mismatch,"type_composition_divergence",1451,935,0.644383,11,11,"4;7;10"
Mismatch,"head_count_divergence",1451,935,0.644383,11,11,"4;7;10"
Mismatch,"lane_occupancy_divergence",1451,1451,1.000000,11,11,"4;7;10"
Mismatch,"mixed_type_divergence",1451,35,0.024121,4,4,"4;7"
Mismatch,"release_involved_external_context",1451,115,0.079256,5,5,"4;7"
Mismatch,"target_release_involved",1451,28,0.019297,4,4,"4;7"
Mismatch,"target_held_before",1451,108,0.074431,7,7,"4;7"
Mismatch,"endpoint_or_group_collision",1451,6,0.004135,3,3,"7"
Mismatch,"other_pre_holdout_occurrence",1451,1451,1.000000,11,11,"4;7;10"
NoContext,"serialized_spacing_divergence",16224,57,0.003513,6,6,"4;7"
NoContext,"exact_file_beat_spacing_divergence",16224,67,0.004130,6,6,"4;7"
NoContext,"held_state_divergence",16224,0,0.000000,0,0,""
NoContext,"type_composition_divergence",16224,4,0.000247,2,2,"7"
NoContext,"head_count_divergence",16224,4,0.000247,2,2,"7"
NoContext,"lane_occupancy_divergence",16224,31,0.001911,4,4,"4;7"
NoContext,"mixed_type_divergence",16224,2,0.000123,1,1,"7"
NoContext,"release_involved_external_context",16224,8746,0.539078,8,8,"4;7"
NoContext,"target_release_involved",16224,6847,0.422029,8,8,"4;7"
NoContext,"target_held_before",16224,8403,0.517936,8,8,"4;7"
NoContext,"endpoint_or_group_collision",16224,79,0.004869,7,7,"4;7"
NoContext,"other_pre_holdout_occurrence",16224,79,0.004869,7,7,"4;7"
