disposition,raw_donor_occurrences,distinct_center_tokens,occurrences_per_center,count,charts_present,families_present,keymodes_present
Reconstructed,1,1,"1",2117,11,11,"4;7;10"
Reconstructed,2,1,"2",777,10,10,"4;7;10"
Reconstructed,3,1,"3",378,8,8,"4;7;10"
Reconstructed,4,1,"4",180,5,5,"4;7"
Reconstructed,5,1,"5",82,6,6,"4;7"
Reconstructed,6,1,"6",69,2,2,"4"
Reconstructed,7,1,"7",71,2,2,"4"
Reconstructed,8,1,"8",99,1,1,"4"
Reconstructed,9,1,"9",50,3,3,"4;7"
Reconstructed,10,1,"10",24,1,1,"4"
Reconstructed,11,1,"11",72,1,1,"4"
Reconstructed,12,1,"12",65,1,1,"4"
Reconstructed,13,1,"13",126,2,2,"4"
Reconstructed,14,1,"14",15,1,1,"4"
Reconstructed,17,1,"17",18,1,1,"4"
Ambiguous,2,2,"1;1",728,11,11,"4;7;10"
Ambiguous,3,2,"1;2",253,11,11,"4;7;10"
Ambiguous,3,3,"1;1;1",218,9,9,"4;7;10"
Ambiguous,4,2,"1;3",86,9,9,"4;7;10"
Ambiguous,4,2,"2;2",40,7,7,"7;10"
Ambiguous,4,3,"1;1;2",121,9,9,"4;7;10"
Ambiguous,4,4,"1;1;1;1",90,9,9,"4;7;10"
Ambiguous,5,2,"1;4",39,7,7,"4;7"
Ambiguous,5,2,"2;3",67,7,7,"4;7;10"
Ambiguous,5,3,"1;1;3",45,8,8,"4;7;10"
Ambiguous,5,3,"1;2;2",33,7,7,"4;7;10"
Ambiguous,5,4,"1;1;1;2",83,7,7,"4;7;10"
Ambiguous,5,5,"1;1;1;1;1",46,6,6,"7"
Ambiguous,6,2,"2;4",7,4,4,"4;7"
Ambiguous,6,2,"3;3",5,2,2,"7"
Ambiguous,6,2,"1;5",2,1,1,"7"
Ambiguous,6,3,"1;2;3",48,7,7,"4;7;10"
Ambiguous,6,3,"1;1;4",13,4,4,"4;7"
Ambiguous,6,3,"2;2;2",6,1,1,"4"
Ambiguous,6,4,"1;1;1;3",26,6,6,"7;10"
Ambiguous,6,4,"1;1;2;2",42,6,6,"7;10"
Ambiguous,6,5,"1;1;1;1;2",41,6,6,"7"
Ambiguous,6,6,"1;1;1;1;1;1",20,5,5,"7"
Ambiguous,7,2,"1;6",9,2,2,"4;10"
Ambiguous,7,2,"3;4",18,2,2,"7"
Ambiguous,7,2,"2;5",6,1,1,"7"
Ambiguous,7,3,"1;2;4",10,3,3,"7;10"
Ambiguous,7,3,"1;1;5",6,1,1,"10"
Ambiguous,7,3,"2;2;3",11,2,2,"7;10"
Ambiguous,7,3,"1;3;3",6,3,3,"7"
Ambiguous,7,4,"1;2;2;2",11,3,3,"7;10"
Ambiguous,7,4,"1;1;2;3",28,4,4,"7;10"
Ambiguous,7,4,"1;1;1;4",6,2,2,"7;10"
Ambiguous,7,5,"1;1;1;2;2",44,7,7,"7;10"
Ambiguous,7,5,"1;1;1;1;3",15,3,3,"7"
Ambiguous,7,6,"1;1;1;1;1;2",35,5,5,"7"
Ambiguous,7,7,"1;1;1;1;1;1;1",10,2,2,"7"
Ambiguous,8,2,"1;7",2,1,1,"7"
Ambiguous,8,3,"1;1;6",10,2,2,"7;10"
Ambiguous,8,3,"2;2;4",4,1,1,"10"
Ambiguous,8,3,"2;3;3",4,1,1,"10"
Ambiguous,8,3,"1;3;4",2,1,1,"10"
Ambiguous,8,3,"1;2;5",2,1,1,"7"
Ambiguous,8,4,"1;1;2;4",9,2,2,"7;10"
Ambiguous,8,4,"1;2;2;3",10,2,2,"7;10"
Ambiguous,8,4,"1;1;1;5",12,3,3,"7;10"
Ambiguous,8,4,"1;1;3;3",3,1,1,"10"
Ambiguous,8,4,"2;2;2;2",3,1,1,"7"
Ambiguous,8,5,"1;1;1;2;3",18,3,3,"7;10"
Ambiguous,8,5,"1;1;2;2;2",6,2,2,"7"
Ambiguous,8,5,"1;1;1;1;4",10,2,2,"7"
Ambiguous,8,6,"1;1;1;1;2;2",26,3,3,"7"
Ambiguous,8,6,"1;1;1;1;1;3",22,3,3,"7"
Ambiguous,8,7,"1;1;1;1;1;1;2",10,2,2,"7"
Ambiguous,9,2,"3;6",1,1,1,"10"
Ambiguous,9,3,"2;3;4",12,2,2,"7;10"
Ambiguous,9,3,"2;2;5",6,1,1,"10"
Ambiguous,9,3,"1;2;6",3,1,1,"10"
Ambiguous,9,3,"1;3;5",10,1,1,"10"
Ambiguous,9,4,"2;2;2;3",2,1,1,"10"
Ambiguous,9,4,"1;2;2;4",8,3,3,"7;10"
Ambiguous,9,4,"1;2;3;3",8,2,2,"7;10"
Ambiguous,9,4,"1;1;3;4",4,2,2,"7;10"
Ambiguous,9,5,"1;2;2;2;2",6,1,1,"10"
Ambiguous,9,5,"1;1;2;2;3",25,3,3,"7;10"
Ambiguous,9,5,"1;1;1;2;4",8,2,2,"7"
Ambiguous,9,6,"1;1;1;1;2;3",21,3,3,"7"
Ambiguous,9,6,"1;1;1;2;2;2",25,4,4,"7"
Ambiguous,9,6,"1;1;1;1;1;4",2,1,1,"7"
Ambiguous,9,7,"1;1;1;1;1;1;3",9,1,1,"7"
Ambiguous,9,7,"1;1;1;1;1;2;2",45,4,4,"7"
Ambiguous,9,8,"1;1;1;1;1;1;1;2",23,2,2,"7"
Ambiguous,9,9,"1;1;1;1;1;1;1;1;1",2,1,1,"7"
Ambiguous,10,3,"2;2;6",3,1,1,"7"
Ambiguous,10,3,"2;3;5",7,1,1,"7"
Ambiguous,10,3,"1;3;6",2,1,1,"7"
Ambiguous,10,3,"1;4;5",2,1,1,"7"
Ambiguous,10,4,"2;2;2;4",1,1,1,"10"
Ambiguous,10,4,"1;2;3;4",5,1,1,"7"
Ambiguous,10,4,"1;2;2;5",3,1,1,"7"
Ambiguous,10,4,"1;1;3;5",2,1,1,"7"
Ambiguous,10,5,"1;2;2;2;3",4,1,1,"10"
Ambiguous,10,5,"1;1;2;2;4",9,1,1,"10"
Ambiguous,10,5,"1;1;2;3;3",6,2,2,"7"
Ambiguous,10,5,"1;1;1;3;4",4,1,1,"7"
Ambiguous,10,5,"1;1;1;1;6",5,1,1,"4"
Ambiguous,10,6,"1;1;1;1;2;4",7,2,2,"7;10"
Ambiguous,10,6,"1;1;1;2;2;3",24,4,4,"4;7;10"
Ambiguous,10,6,"1;1;1;1;3;3",8,3,3,"7"
Ambiguous,10,6,"1;1;1;1;1;5",6,1,1,"4"
Ambiguous,10,7,"1;1;1;1;1;1;4",7,1,1,"7"
Ambiguous,10,7,"1;1;1;1;1;2;3",26,4,4,"4;7"
Ambiguous,10,7,"1;1;1;1;2;2;2",11,3,3,"4;7"
Ambiguous,10,8,"1;1;1;1;1;1;1;3",10,3,3,"7"
Ambiguous,10,8,"1;1;1;1;1;1;2;2",22,3,3,"7"
Ambiguous,10,9,"1;1;1;1;1;1;1;1;2",22,3,3,"7"
