family_key,relative_path,key_count,eligible,reconstructed,ambiguous,mismatch,no_context,no_pair_elsewhere,only_excluded,spacing_divergence,held_divergence,type_divergence,leakage
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","",7,2194,389,684,213,908,908,0,693,0,770,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE","",10,2440,727,1185,111,417,417,0,1576,0,1095,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","",4,1731,190,1450,30,61,61,0,1654,0,1460,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","",4,1831,1245,13,14,559,537,22,1047,0,27,0
"KIKUO | KARA KARA KARA NO KARA | XNETT","",7,6575,618,740,215,5002,4979,23,1480,0,721,0
"MORO | HOLY BITCH | ITZBENJA616","",7,3446,408,1234,356,1448,1448,0,1753,0,1452,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","",7,2817,17,55,39,2706,2705,1,84,0,23,0
"NMK&WATHUE | CELESTIAL AXES | WONKI","",7,1328,127,369,106,726,712,14,547,0,416,0
"NOWISEE | KO INU | RUKA","",7,3096,254,61,65,2716,2703,13,331,0,88,0
"ORGT | DESTINY | BAIO","",7,908,70,121,56,661,659,2,224,0,147,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","",7,1924,98,560,246,1020,1016,4,850,0,723,0
