disposition,target_composition,target_held_before,release_involved_external_context,count,charts_present,families_present,keymodes_present
Reconstructed,"ln-head",true,true,628,5,5,"4;7"
Reconstructed,"ln-head",false,true,153,5,5,"4;7"
Reconstructed,"ln-head",true,false,51,3,3,"4;7"
Reconstructed,"ln-head",false,false,4,1,1,"7"
Reconstructed,"mixed-tap-ln-head",false,true,42,3,3,"4;7"
Reconstructed,"mixed-tap-ln-head",true,true,127,4,4,"4;7"
Reconstructed,"mixed-tap-ln-head",false,false,12,4,4,"7"
Reconstructed,"mixed-tap-ln-head",true,false,8,1,1,"7"
Reconstructed,"release-only",true,true,482,3,3,"4;7"
Reconstructed,"release-only",false,true,76,1,1,"4"
Reconstructed,"release-only",true,false,277,3,3,"4;7"
Reconstructed,"release-only",false,false,15,4,4,"4;7"
Reconstructed,"tap-head",false,true,10,2,2,"4;7"
Reconstructed,"tap-head",false,false,2050,11,11,"4;7;10"
Reconstructed,"tap-head",true,true,163,4,4,"4;7"
Reconstructed,"tap-head",true,false,45,6,6,"4;7"
Ambiguous,"ln-head",false,true,4,2,2,"4;7"
Ambiguous,"ln-head",true,true,15,2,2,"4;7"
Ambiguous,"mixed-tap-ln-head",true,true,24,1,1,"7"
Ambiguous,"mixed-tap-ln-head",false,true,7,1,1,"7"
Ambiguous,"release-only",true,true,3,1,1,"4"
Ambiguous,"release-only",true,false,2,1,1,"7"
Ambiguous,"tap-head",false,false,6329,11,11,"4;7;10"
Ambiguous,"tap-head",true,false,11,3,3,"7"
Ambiguous,"tap-head",true,true,73,2,2,"7"
Ambiguous,"tap-head",false,true,4,1,1,"7"
Mismatch,"ln-head",false,true,7,3,3,"4;7"
Mismatch,"ln-head",true,true,11,2,2,"7"
Mismatch,"mixed-tap-ln-head",false,true,25,4,4,"4;7"
Mismatch,"mixed-tap-ln-head",true,true,24,3,3,"4;7"
Mismatch,"release-only",true,true,2,1,1,"4"
Mismatch,"tap-head",true,true,40,4,4,"4;7"
Mismatch,"tap-head",false,false,1305,11,11,"4;7;10"
Mismatch,"tap-head",true,false,31,6,6,"7"
Mismatch,"tap-head",false,true,6,2,2,"7"
NoContext,"ln-head",false,true,846,7,7,"4;7"
NoContext,"ln-head",true,true,2745,6,6,"4;7"
NoContext,"ln-head",true,false,150,6,6,"4;7"
NoContext,"ln-head",false,false,53,6,6,"4;7"
NoContext,"mixed-tap-ln-head",false,true,522,8,8,"4;7"
NoContext,"mixed-tap-ln-head",true,true,1417,6,6,"4;7"
NoContext,"mixed-tap-ln-head",false,false,231,8,8,"4;7"
NoContext,"mixed-tap-ln-head",true,false,95,6,6,"7"
NoContext,"release-only",false,true,76,5,5,"4;7"
NoContext,"release-only",false,false,329,8,8,"4;7"
NoContext,"release-only",true,true,1453,5,5,"4;7"
NoContext,"release-only",true,false,655,6,6,"4;7"
NoContext,"tap-head",true,true,1358,8,8,"4;7"
NoContext,"tap-head",false,true,329,8,8,"4;7"
NoContext,"tap-head",false,false,5435,11,11,"4;7;10"
NoContext,"tap-head",true,false,530,8,8,"4;7"
