case_id,pass,details
"reconstructed",true,"disposition=Reconstructed;reason=NotApplicable"
"ambiguous",true,"disposition=Ambiguous;reason=NotApplicable"
"mismatch",true,"disposition=Mismatch;reason=NotApplicable"
"no_context_self_only",true,"disposition=NoContext;reason=NoExactNeighborPairElsewhere"
"sanitized_target_touching",true,"disposition=NoContext;reason=OnlyExcludedOccurrences"
"spacing_divergent_mismatch",true,"disposition=Mismatch;reason=NotApplicable"
"spacing_same_mismatch",true,"disposition=Mismatch;reason=NotApplicable"
"held_and_type_divergent",true,"disposition=Mismatch;reason=NotApplicable"
"multiplicity_no_vote",true,"centers=2;donors=11"
"four_occurrence_link_semantics",true,"occurrences=4;links=3;allPairs=6"
"edge_ineligible",true,"edge excluded from eligible population"
"counterfactual_transition_distinction",true,"support and coverage destruction remain distinct"
"leakage_positive_and_correct",true,"bad>0;correct=0"
"rice_fast_exact",true,"31ms exact recurrence"
"ln_release_timing",true,"head/release/held remain distinct across BPM"
"multikey_1k",true,"keymode is stratification only"
"multikey_4k",true,"keymode is stratification only"
"multikey_7k",true,"keymode is stratification only"
"multikey_10k",true,"keymode is stratification only"
"multikey_18k",true,"keymode is stratification only"
