family_key,relative_path,version,sha256,key_count,original_objects,events,recurrence_relations,recurrence_identities,min_run_2_boundaries,min_run_3_boundaries,synthetic_teaching,cross_chart_evidence
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","20260906-131826-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,4,1933,1833,1135,321,5,1,0,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE","20260906-131904-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,10,4001,2442,1583,502,65,23,0,0
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","20260906-131925-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,7,4897,2196,1234,460,7,2,0,0
"KIKUO | KARA KARA KARA NO KARA | XNETT","20260906-131946-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,7,10142,6577,1434,655,49,6,0,0
"NMK&WATHUE | CELESTIAL AXES | WONKI","20260906-132052-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",DD5D885E5A72729DF913D1010A32D145596DB465F94271AE54E5ECDD7A3C5C20,7,3098,1330,509,257,24,8,0,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","20260906-132115-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,7,4579,1926,801,427,27,7,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","20260906-132131-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,4,2241,1733,1608,94,26,20,0,0
"ORGT | DESTINY | BAIO","20260906-132157-f3ed30353b874ea1af9e136183fe1c12/orgT - DESTINY (Baio) [Insane].osu","Insane",322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,7,1653,910,227,116,26,3,0,0
"NOWISEE | KO INU | RUKA","20260906-132536-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,5400,3098,321,236,1,1,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","20260906-132704-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,7,4608,2819,139,85,5,2,0,0
"MORO | HOLY BITCH | ITZBENJA616","20260906-132812-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,7,8284,3448,1989,737,53,16,0,0
