family_key,charts,keymodes,events,recurrence_relations,min_run_2_boundaries,min_run_3_boundaries
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",1,"7",2196,1234,7,2
"A-ONE | SIDE BY SIDE | KURISU MAKISE",1,"10",2442,1583,65,23
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",1,"4",1733,1608,26,20
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",1,"4",1833,1135,5,1
"KIKUO | KARA KARA KARA NO KARA | XNETT",1,"7",6577,1434,49,6
"MORO | HOLY BITCH | ITZBENJA616",1,"7",3448,1989,53,16
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",1,"7",2819,139,5,2
"NMK&WATHUE | CELESTIAL AXES | WONKI",1,"7",1330,509,24,8
"NOWISEE | KO INU | RUKA",1,"7",3098,321,1,1
"ORGT | DESTINY | BAIO",1,"7",910,227,26,3
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",1,"7",1926,801,27,7
