case_id,recurrence_relations,boundaries,pass,details
"stationary",2,0,true,"expected no abrupt boundary"
"abrupt_change",2,1,true,"recovered=1;fp=0;fn=0"
"return_recurrence",1,0,true,"A/B/A recurrence without required segmentation"
"alternating",5,0,true,"recurrence remains orthogonal to segmentation"
"gradual_transition",0,0,true,"expected no abrupt boundary"
"isolated_outlier",3,0,true,"expected no abrupt boundary"
"bpm_only_change",4,0,true,"expected no abrupt boundary"
"structure_only_change",2,1,true,"recovered=1;fp=0;fn=0"
"short_chart",0,0,true,"explicit abstention"
"ln_heavy_timing",0,0,true,"LN heads/releases/held state remain distinct across BPM"
"stable_fast_rice",17,0,true,"expected no abrupt boundary"
"sparse_dense",2,1,true,"recovered=1;fp=0;fn=0"
"multiple_regimes",2,1,true,"recovered=1;fp=0;fn=0"
"multikey_1k",0,0,true,"geometry-only key count"
"multikey_4k",0,0,true,"geometry-only key count"
"multikey_7k",0,0,true,"geometry-only key count"
"multikey_10k",0,0,true,"geometry-only key count"
"multikey_18k",0,0,true,"geometry-only key count"
"negative_every_event_boundary",0,5,true,"falsePositive=4"
"negative_no_boundary",0,0,true,"falseNegative=1"
"negative_leakage",0,0,true,"leakage=1"
