family_key,relative_path,version,key_count,charts,trials,candidate_resolutions,target_candidate_resolutions,target_observed_support,target_local_mismatch,target_no_comparable_context,target_ambiguous_evidence,non_target_observed_support,non_target_local_mismatch,non_target_no_comparable_context,non_target_ambiguous_evidence,target_unique_conflicts,target_vs_wrong_conflicts,shared_support_contradiction_donors,disjoint_support_contradiction_resolutions,supporting_donor_references,contradicting_donor_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,4218,21717,4218,2014,32,16,2156,1238,245,1,16015,209,156,0,16852,440168,205598,0,0,0,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,1,2583,17720,2583,1815,92,44,632,1665,0,0,13472,88,64,0,13953,169770,89628,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,1,921,2460,921,519,0,0,402,189,0,0,1350,67,61,0,1500,117516,26095,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,1,1505,7583,1505,1056,23,5,421,114,2407,3,3554,99,84,0,3773,72380,243598,0,0,0,0
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,7918,65212,7918,3109,1410,957,2442,4645,30266,3224,19159,881,561,0,21322,172966,802240,0,0,0,0
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,7020,31672,7020,3435,18,0,3567,3717,0,0,20935,434,280,0,22957,690934,167311,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,3607,26305,3607,688,753,873,1293,1756,12630,1961,6351,454,322,0,7336,24618,156485,0,0,0,0
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,2660,12022,2660,1525,65,43,1027,1635,613,17,7097,206,156,0,7797,115904,65545,0,0,0,0
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,4599,34798,4599,1321,1318,1146,814,1918,19685,4024,4572,569,321,0,5358,13376,101220,0,0,0,0
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,1302,9164,1302,566,225,121,390,773,3518,302,3269,128,98,0,3581,28292,98108,0,0,0,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,4027,20549,4027,1894,85,61,1987,2105,1285,25,13107,531,379,0,14756,301266,285488,0,0,0,0
