scope,family_key,is_target_candidate,parent_view,child_view,resolutions
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedHeld,ReducedHeldPrevNext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedNext,ReducedNextTransition,3841
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedNextTransition,ReducedPrevNext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPrevious,ReducedPreviousTransition,3756
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPreviousTransition,ReducedPrevNext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPrevNext,ReducedHeldPrevNext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedHeld,ReducedHeldPrevNext,1351
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedNext,ReducedNextTransition,2986
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedNextTransition,ReducedPrevNext,1351
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPrevious,ReducedPreviousTransition,3086
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPreviousTransition,ReducedPrevNext,1351
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPrevNext,ReducedHeldPrevNext,1351
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedHeld,ReducedHeldPrevNext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedNext,ReducedNextTransition,1421
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedNextTransition,ReducedPrevNext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPrevious,ReducedPreviousTransition,1185
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPreviousTransition,ReducedPrevNext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPrevNext,ReducedHeldPrevNext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedHeld,ReducedHeldPrevNext,1064
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedNext,ReducedNextTransition,1496
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedNextTransition,ReducedPrevNext,1064
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPrevious,ReducedPreviousTransition,1546
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPreviousTransition,ReducedPrevNext,1064
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPrevNext,ReducedHeldPrevNext,1064
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedHeld,ReducedHeldPrevNext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedNext,ReducedNextTransition,472
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedNextTransition,ReducedPrevNext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPrevious,ReducedPreviousTransition,471
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPreviousTransition,ReducedPrevNext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPrevNext,ReducedHeldPrevNext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedHeld,ReducedHeldPrevNext,239
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedNext,ReducedNextTransition,592
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedNextTransition,ReducedPrevNext,239
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPrevious,ReducedPreviousTransition,613
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPreviousTransition,ReducedPrevNext,239
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPrevNext,ReducedHeldPrevNext,239
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedHeld,ReducedHeldPrevNext,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedNext,ReducedNextTransition,1208
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedNextTransition,ReducedPrevNext,58
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPrevious,ReducedPreviousTransition,906
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPreviousTransition,ReducedPrevNext,58
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPrevNext,ReducedHeldPrevNext,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedHeld,ReducedHeldPrevNext,813
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedNext,ReducedNextTransition,1168
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedNextTransition,ReducedPrevNext,843
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPrevious,ReducedPreviousTransition,1123
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPreviousTransition,ReducedPrevNext,843
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPrevNext,ReducedHeldPrevNext,813
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedHeld,ReducedHeldPrevNext,29
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedNext,ReducedNextTransition,1148
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedNextTransition,ReducedPrevNext,106
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPrevious,ReducedPreviousTransition,768
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPreviousTransition,ReducedPrevNext,106
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPrevNext,ReducedHeldPrevNext,29
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedHeld,ReducedHeldPrevNext,334
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedNext,ReducedNextTransition,1193
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedNextTransition,ReducedPrevNext,436
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPrevious,ReducedPreviousTransition,1033
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPreviousTransition,ReducedPrevNext,436
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPrevNext,ReducedHeldPrevNext,334
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedHeld,ReducedHeldPrevNext,821
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedNext,ReducedNextTransition,6300
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedNextTransition,ReducedPrevNext,821
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPrevious,ReducedPreviousTransition,6290
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPreviousTransition,ReducedPrevNext,821
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPrevNext,ReducedHeldPrevNext,821
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedHeld,ReducedHeldPrevNext,1417
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedNext,ReducedNextTransition,3730
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedNextTransition,ReducedPrevNext,1417
