family_key,relative_path,version,key_count,charts,trials,candidate_resolutions,target_candidate_resolutions,target_observed_support,target_local_mismatch,target_no_comparable_context,target_ambiguous_evidence,non_target_observed_support,non_target_local_mismatch,non_target_no_comparable_context,non_target_ambiguous_evidence,target_unique_conflicts,target_vs_wrong_conflicts,shared_support_contradiction_donors,disjoint_support_contradiction_resolutions,supporting_donor_references,contradicting_donor_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","","ALL",0,1,4218,21717,4218,2014,32,16,2156,1238,245,1,16015,209,156,0,16852,440168,205598,0,0,0,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE","","ALL",0,1,2583,17720,2583,1815,92,44,632,1665,0,0,13472,88,64,0,13953,169770,89628,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","","ALL",0,1,921,2460,921,519,0,0,402,189,0,0,1350,67,61,0,1500,117516,26095,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","","ALL",0,1,1505,7583,1505,1056,23,5,421,114,2407,3,3554,99,84,0,3773,72380,243598,0,0,0,0
"KIKUO | KARA KARA KARA NO KARA | XNETT","","ALL",0,1,7918,65212,7918,3109,1410,957,2442,4645,30266,3224,19159,881,561,0,21322,172966,802240,0,0,0,0
"MORO | HOLY BITCH | ITZBENJA616","","ALL",0,1,7020,31672,7020,3435,18,0,3567,3717,0,0,20935,434,280,0,22957,690934,167311,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","","ALL",0,1,3607,26305,3607,688,753,873,1293,1756,12630,1961,6351,454,322,0,7336,24618,156485,0,0,0,0
"NMK&WATHUE | CELESTIAL AXES | WONKI","","ALL",0,1,2660,12022,2660,1525,65,43,1027,1635,613,17,7097,206,156,0,7797,115904,65545,0,0,0,0
"NOWISEE | KO INU | RUKA","","ALL",0,1,4599,34798,4599,1321,1318,1146,814,1918,19685,4024,4572,569,321,0,5358,13376,101220,0,0,0,0
"ORGT | DESTINY | BAIO","","ALL",0,1,1302,9164,1302,566,225,121,390,773,3518,302,3269,128,98,0,3581,28292,98108,0,0,0,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","","ALL",0,1,4027,20549,4027,1894,85,61,1987,2105,1285,25,13107,531,379,0,14756,301266,285488,0,0,0,0
