scope,family_key,is_target_candidate,joint_kind,joint_evidence_state,resolutions
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,HeldPrevNext,NoMarginalAgreement,17184
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,HeldPrevNext,ObservedJointContext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,PreviousNext,MarginalContradictedByJoint,137
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,PreviousNext,MarginalWithoutJointComparable,378
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,PreviousNext,NoMarginalAgreement,16669
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,PreviousNext,ObservedJointContext,315
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,HeldPrevNext,NoMarginalAgreement,2867
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,HeldPrevNext,ObservedJointContext,1351
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,PreviousNext,MarginalContradictedByJoint,102
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,PreviousNext,MarginalWithoutJointComparable,941
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,PreviousNext,NoMarginalAgreement,1824
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,PreviousNext,ObservedJointContext,1351
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,HeldPrevNext,NoMarginalAgreement,14956
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,HeldPrevNext,ObservedJointContext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,PreviousNext,MarginalContradictedByJoint,91
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,PreviousNext,MarginalWithoutJointComparable,56
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,PreviousNext,NoMarginalAgreement,14809
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,PreviousNext,ObservedJointContext,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,HeldPrevNext,NoMarginalAgreement,1519
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,HeldPrevNext,ObservedJointContext,1064
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,PreviousNext,MarginalContradictedByJoint,9
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,PreviousNext,MarginalWithoutJointComparable,95
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,PreviousNext,NoMarginalAgreement,1415
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,PreviousNext,ObservedJointContext,1064
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,HeldPrevNext,NoMarginalAgreement,1499
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,HeldPrevNext,ObservedJointContext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,PreviousNext,MarginalContradictedByJoint,22
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,PreviousNext,MarginalWithoutJointComparable,72
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,PreviousNext,NoMarginalAgreement,1405
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,PreviousNext,ObservedJointContext,40
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,HeldPrevNext,NoMarginalAgreement,682
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,HeldPrevNext,ObservedJointContext,239
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,PreviousNext,MarginalContradictedByJoint,12
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,PreviousNext,MarginalWithoutJointComparable,180
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,PreviousNext,NoMarginalAgreement,490
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,PreviousNext,ObservedJointContext,239
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,HeldPrevNext,MarginalContradictedByJoint,4
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,HeldPrevNext,MarginalWithoutJointComparable,6
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,HeldPrevNext,NoMarginalAgreement,6055
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,HeldPrevNext,ObservedJointContext,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,PreviousNext,MarginalContradictedByJoint,201
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,PreviousNext,MarginalWithoutJointComparable,67
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,PreviousNext,NoMarginalAgreement,5752
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,PreviousNext,ObservedJointContext,58
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,HeldPrevNext,MarginalWithoutJointComparable,30
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,HeldPrevNext,NoMarginalAgreement,662
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,HeldPrevNext,ObservedJointContext,813
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,MarginalContradictedByJoint,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,MarginalWithoutJointComparable,141
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,NoMarginalAgreement,508
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,ObservedJointContext,843
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,MarginalContradictedByJoint,2
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,MarginalWithoutJointComparable,2
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,NoMarginalAgreement,57261
