scope,family_key,is_target_candidate,view,resolutions
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedHeld,10
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedHeldPrevNext,178
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedNext,356
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedNextTransition,392
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPrevious,308
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPreviousTransition,351
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",no,ReducedPrevNext,178
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedHeld,16
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedHeldPrevNext,1220
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedNext,706
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedNextTransition,751
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPrevious,817
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPreviousTransition,831
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",yes,ReducedPrevNext,1220
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedHeld,38
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedHeldPrevNext,73
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedNext,141
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedNextTransition,181
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPrevious,106
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPreviousTransition,158
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",no,ReducedPrevNext,73
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedHeld,117
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedHeldPrevNext,974
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedNext,846
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedNextTransition,918
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPrevious,855
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPreviousTransition,977
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",yes,ReducedPrevNext,974
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedHeldPrevNext,36
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedNext,27
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedNextTransition,99
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPrevious,22
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPreviousTransition,102
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",no,ReducedPrevNext,36
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedHeld,36
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedHeldPrevNext,235
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedNext,126
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedNextTransition,276
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPrevious,126
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPreviousTransition,258
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",yes,ReducedPrevNext,235
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedHeld,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedHeldPrevNext,11
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedNext,54
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedNextTransition,58
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPrevious,75
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPreviousTransition,84
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",no,ReducedPrevNext,31
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedHeld,345
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedHeldPrevNext,811
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedNext,427
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedNextTransition,561
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPrevious,415
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPreviousTransition,570
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,ReducedPrevNext,822
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedHeld,803
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedHeldPrevNext,23
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedNext,861
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedNextTransition,368
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPrevious,943
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPreviousTransition,385
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,ReducedPrevNext,69
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedHeld,1115
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedHeldPrevNext,328
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedNext,1161
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedNextTransition,873
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPrevious,1158
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPreviousTransition,830
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,ReducedPrevNext,405
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedHeld,18
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedHeldPrevNext,389
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedNext,508
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedNextTransition,758
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPrevious,577
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPreviousTransition,757
family,"MORO | HOLY BITCH | ITZBENJA616",no,ReducedPrevNext,389
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedHeldPrevNext,1022
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedNext,760
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedNextTransition,734
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedPrevious,730
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedPreviousTransition,866
family,"MORO | HOLY BITCH | ITZBENJA616",yes,ReducedPrevNext,1022
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedHeld,474
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedHeldPrevNext,8
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedNext,430
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedNextTransition,395
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedPrevious,377
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,ReducedPreviousTransition,315
