is_target_candidate,view,disposition,resolutions
no,ReducedHeld,Abstaining,21559
no,ReducedHeld,Contradicting,75872
no,ReducedHeld,Supporting,111411
no,ReducedHeldPrevNext,Abstaining,178378
no,ReducedHeldPrevNext,Contradicting,28816
no,ReducedHeldPrevNext,Supporting,1648
no,ReducedNext,Abstaining,59111
no,ReducedNext,Contradicting,109923
no,ReducedNext,Supporting,39808
no,ReducedNextTransition,Abstaining,110801
no,ReducedNextTransition,Contradicting,78152
no,ReducedNextTransition,Supporting,19889
no,ReducedPrevious,Abstaining,59762
no,ReducedPrevious,Contradicting,110942
no,ReducedPrevious,Supporting,38138
no,ReducedPreviousTransition,Abstaining,114118
no,ReducedPreviousTransition,Contradicting,76054
no,ReducedPreviousTransition,Supporting,18670
no,ReducedPrevNext,Abstaining,174403
no,ReducedPrevNext,Contradicting,32387
no,ReducedPrevNext,Supporting,2052
yes,ReducedHeld,Abstaining,5101
yes,ReducedHeld,Contradicting,3845
yes,ReducedHeld,Supporting,31414
yes,ReducedHeldPrevNext,Abstaining,33480
yes,ReducedHeldPrevNext,Contradicting,925
yes,ReducedHeldPrevNext,Supporting,5955
yes,ReducedNext,Abstaining,12197
yes,ReducedNext,Contradicting,6417
yes,ReducedNext,Supporting,21746
yes,ReducedNextTransition,Abstaining,20837
yes,ReducedNextTransition,Contradicting,4868
yes,ReducedNextTransition,Supporting,14655
yes,ReducedPrevious,Abstaining,12321
yes,ReducedPrevious,Contradicting,6353
yes,ReducedPrevious,Supporting,21686
yes,ReducedPreviousTransition,Abstaining,21161
yes,ReducedPreviousTransition,Contradicting,4574
yes,ReducedPreviousTransition,Supporting,14625
yes,ReducedPrevNext,Abstaining,32988
yes,ReducedPrevNext,Contradicting,1179
yes,ReducedPrevNext,Supporting,6193
