field,epistemic_role,required,release_specific,purpose
source_latent_beat,latent_truth,true,false,source_coordinate_before_serialization
destination_latent_beat,latent_truth,true,false,destination_coordinate_before_serialization
latent_gap_beats,derived_truth,true,false,destination_minus_source
source_serialized_timestamp,observed_pair,true,false,forward_validation
destination_serialized_timestamp,observed_pair,true,false,forward_validation
transition_kind,relation_identity,true,false,preserve_four_typed_transitions
source_endpoint_type,endpoint_semantics,true,false,head_or_release
destination_endpoint_type,endpoint_semantics,true,false,tap_head_or_ln_head
source_ln_head_latent_beat,latent_truth,conditional,true,separate_head_from_release
source_ln_head_serialized_timestamp,observed_pair,conditional,true,separate_head_from_release
timing_map,serialization_input,true,false,multi_redline_path
timing_map_version,assumption_certificate,true,false,detect_map_change
truth_source_kind,provenance,true,false,truth_authority_level
truth_level,provenance,true,false,no_probabilistic_confidence
provenance,provenance,true,false,reproducible_origin
