transition_kind,exact_gap_beats,local_state,final_action,resolutions
TapHeadToTapHead,0.24749999999999975250000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.24753333333333331683111111,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.24826666666666676597333333,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.24826666666666676597333333,AmbiguousEvidence,SkipLocalAmbiguity,4
TapHeadToTapHead,0.24826666666666676597333334,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.24840000000000009936000000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.24840000000000024840000000,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.24849999999999978463333333,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.24873333333333358206666666,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.24873333333333358206666666,AmbiguousEvidence,SkipLocalAmbiguity,14
TapHeadToTapHead,0.248733333333333582066666666,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.248733333333333582066666666,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.248733333333333582066666667,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.24873333333333358206666667,AmbiguousEvidence,SkipLocalAmbiguity,44
TapHeadToTapHead,0.24896666666666641770000000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.24915000000000027821750000,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.249333333333333084,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.249333333333333084,AmbiguousEvidence,SkipLocalAmbiguity,17
TapHeadToTapHead,0.2493333333333334995555555,AmbiguousEvidence,SkipLocalAmbiguity,56
TapHeadToTapHead,0.24933333333333349955555555,AmbiguousEvidence,SkipLocalAmbiguity,52
TapHeadToTapHead,0.24933333333333349955555556,AmbiguousEvidence,SkipLocalAmbiguity,71
TapHeadToTapHead,0.2493333333333334995555556,AmbiguousEvidence,SkipLocalAmbiguity,93
TapHeadToTapHead,0.24955000000000009982000000,LocalMismatch,SkipLocalMismatch,4
