key_count,transition_kind,local_state,global_state,final_action,resolutions
4,TapHeadToTapHead,LocalMismatch,,SkipLocalMismatch,128
4,TapHeadToTapHead,AmbiguousEvidence,,SkipLocalAmbiguity,2289
4,TapHeadToLongNoteHead,LocalMismatch,,SkipLocalMismatch,17
4,TapHeadToLongNoteHead,AmbiguousEvidence,,SkipLocalAmbiguity,166
4,LongNoteReleaseToTapHead,LocalMismatch,,SkipLocalMismatch,16
4,LongNoteReleaseToTapHead,AmbiguousEvidence,,SkipLocalAmbiguity,167
4,LongNoteReleaseToLongNoteHead,LocalMismatch,,SkipLocalMismatch,16
4,LongNoteReleaseToLongNoteHead,AmbiguousEvidence,,SkipLocalAmbiguity,1367
7,TapHeadToTapHead,LocalMismatch,,SkipLocalMismatch,1686
7,TapHeadToTapHead,AmbiguousEvidence,,SkipLocalAmbiguity,26413
7,TapHeadToLongNoteHead,LocalMismatch,,SkipLocalMismatch,634
7,TapHeadToLongNoteHead,NoComparableContext,LocalMismatch,SkipGlobalMismatch,1
7,TapHeadToLongNoteHead,AmbiguousEvidence,,SkipLocalAmbiguity,2901
7,LongNoteReleaseToTapHead,LocalMismatch,,SkipLocalMismatch,622
7,LongNoteReleaseToTapHead,NoComparableContext,LocalMismatch,SkipGlobalMismatch,4
7,LongNoteReleaseToTapHead,NoComparableContext,AmbiguousEvidence,SkipGlobalAmbiguity,1
7,LongNoteReleaseToTapHead,AmbiguousEvidence,,SkipLocalAmbiguity,2915
7,LongNoteReleaseToLongNoteHead,ObservedSupport,,AdmitLocalSupport,2
7,LongNoteReleaseToLongNoteHead,LocalMismatch,,SkipLocalMismatch,710
7,LongNoteReleaseToLongNoteHead,NoComparableContext,LocalMismatch,SkipGlobalMismatch,8
7,LongNoteReleaseToLongNoteHead,NoComparableContext,AmbiguousEvidence,SkipGlobalAmbiguity,4
7,LongNoteReleaseToLongNoteHead,AmbiguousEvidence,,SkipLocalAmbiguity,6704
10,TapHeadToTapHead,LocalMismatch,,SkipLocalMismatch,222
10,TapHeadToTapHead,AmbiguousEvidence,,SkipLocalAmbiguity,3769
