scope,family_key,transition_kind,local_state,final_action,resolutions
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,103
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,4760
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,5
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",TapHeadToLongNoteHead,NoComparableContext,SkipGlobalMismatch,1
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,4
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToTapHead,NoComparableContext,SkipGlobalMismatch,4
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToTapHead,NoComparableContext,SkipGlobalAmbiguity,1
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,2
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalMismatch,8
family,"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalAmbiguity,2
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,222
family,"A-ONE | SIDE BY SIDE | KURISU MAKISE",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,3769
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,116
family,"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,2121
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,12
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,168
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,17
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,166
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,16
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,167
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,16
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,1367
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,876
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,3802
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,355
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,1149
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,328
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,1175
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,332
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,2118
family,"MORO | HOLY BITCH | ITZBENJA616",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,119
