family,chart,keymode,original_objects,original_lns,parents_with_0_anchors,parents_with_1_anchor,parents_with_2_anchors,parents_with_3plus_anchors,parents_with_anchors,structural_anchors,complete_relations,contained,equal_end,crossing,same_lane,different_lane,geometry_valid,geometry_invalid,serialization_valid,serialization_unresolved,current_opportunities,current_relation_occurrences,marginal_only_anchors
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","",0,4897,21,17,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,0,44
"A-ONE | SIDE BY SIDE | KURISU MAKISE","",0,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","",0,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","",0,1933,1570,468,673,284,145,1102,1878,1099,224,202,673,0,1099,1099,0,1099,0,30,16,1134
"KIKUO | KARA KARA KARA NO KARA | XNETT","",0,10142,3958,556,999,748,1655,3402,11581,7207,1991,861,4355,0,7207,7207,0,7207,0,50,75,7308
"MORO | HOLY BITCH | ITZBENJA616","",0,8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","",0,4608,3587,2090,700,428,369,1497,3432,4245,1649,1143,1453,0,4245,4245,0,4245,0,76,101,701
"NMK&WATHUE | CELESTIAL AXES | WONKI","",0,3098,69,39,9,5,16,30,194,61,30,21,10,0,61,61,0,61,0,10,8,136
"NOWISEE | KO INU | RUKA","",0,5400,3000,1344,607,443,606,1656,4670,4220,1720,831,1669,0,4220,4220,0,4220,0,100,84,2030
"ORGT | DESTINY | BAIO","",0,1653,296,200,44,17,35,96,271,37,2,24,11,0,37,37,0,37,0,28,0,234
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","",0,4579,53,15,14,1,23,38,92,12,1,11,0,0,12,12,0,12,0,4,4,80
