family,chart,keymode,original_objects,original_lns,parents_with_0_anchors,parents_with_1_anchor,parents_with_2_anchors,parents_with_3plus_anchors,parents_with_anchors,structural_anchors,complete_relations,contained,equal_end,crossing,same_lane,different_lane,geometry_valid,geometry_invalid,serialization_valid,serialization_unresolved,current_opportunities,current_relation_occurrences,marginal_only_anchors
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","20260906-131925-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu",7,4897,21,17,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,0,44
"A-ONE | SIDE BY SIDE | KURISU MAKISE","20260906-131904-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu",10,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","20260906-132131-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu",4,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","20260906-131826-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu",4,1933,1570,468,673,284,145,1102,1878,1099,224,202,673,0,1099,1099,0,1099,0,30,16,1134
"KIKUO | KARA KARA KARA NO KARA | XNETT","20260906-131946-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu",7,10142,3958,556,999,748,1655,3402,11581,7207,1991,861,4355,0,7207,7207,0,7207,0,50,75,7308
"MORO | HOLY BITCH | ITZBENJA616","20260906-132812-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu",7,8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","20260906-132704-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu",7,4608,3587,2090,700,428,369,1497,3432,4245,1649,1143,1453,0,4245,4245,0,4245,0,76,101,701
"NMK&WATHUE | CELESTIAL AXES | WONKI","20260906-132052-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu",7,3098,69,39,9,5,16,30,194,61,30,21,10,0,61,61,0,61,0,10,8,136
"NOWISEE | KO INU | RUKA","20260906-132536-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu",7,5400,3000,1344,607,443,606,1656,4670,4220,1720,831,1669,0,4220,4220,0,4220,0,100,84,2030
"ORGT | DESTINY | BAIO","20260906-132157-f3ed30353b874ea1af9e136183fe1c12/orgT - DESTINY (Baio) [Insane].osu",7,1653,296,200,44,17,35,96,271,37,2,24,11,0,37,37,0,37,0,28,0,234
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","20260906-132115-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu",7,4579,53,15,14,1,23,38,92,12,1,11,0,0,12,12,0,12,0,4,4,80
