family,keymode,current_opportunities,candidate_shapes,exactly_representable,unresolvable,candidate_observed_unique,candidate_observed_among_alternatives,candidate_not_observed,no_observed_relation,hypothetical_admit,hypothetical_abstain,contained,equal_end,crossing,member_in_multi,absent_from_multi
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",4,30,371,371,0,16,4,248,103,20,351,213,4,154,4,23
"KIKUO | KARA KARA KARA NO KARA | XNETT",7,50,1157,1157,0,8,23,768,358,31,1126,591,7,559,23,590
"MORO | HOLY BITCH | ITZBENJA616",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",7,76,1078,1078,0,33,17,842,186,50,1028,360,67,651,17,260
"NMK&WATHUE | CELESTIAL AXES | WONKI",7,10,81,81,0,6,0,66,9,6,75,60,9,12,0,0
"NOWISEE | KO INU | RUKA",7,100,1415,1415,0,9,13,961,432,22,1393,617,28,770,13,549
"ORGT | DESTINY | BAIO",7,28,98,98,0,0,0,0,98,0,98,25,9,64,0,0
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",7,4,26,26,0,4,0,22,0,4,22,11,4,11,0,0
