scope,current_opportunities,candidate_shapes,exactly_representable,unresolvable,candidate_observed_unique,candidate_observed_among_alternatives,candidate_not_observed,no_observed_relation,hypothetical_admit,hypothetical_abstain,contained,equal_end,crossing,queries_one_result,queries_multiple_results,member_in_multi,absent_from_multi
GLOBAL,298,4226,4226,0,76,57,2907,1186,133,4093,1877,128,2221,87,66,57,1422
"CHART:20260906-131826-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu",30,371,371,0,16,4,248,103,20,351,213,4,154,15,1,4,23
"CHART:20260906-131904-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHART:20260906-131925-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHART:20260906-131946-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu",50,1157,1157,0,8,23,768,358,31,1126,591,7,559,9,25,23,590
"CHART:20260906-132052-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu",10,81,81,0,6,0,66,9,6,75,60,9,12,8,0,0,0
"CHART:20260906-132115-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu",4,26,26,0,4,0,22,0,4,22,11,4,11,4,0,0,0
"CHART:20260906-132131-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHART:20260906-132157-f3ed30353b874ea1af9e136183fe1c12/orgT - DESTINY (Baio) [Insane].osu",28,98,98,0,0,0,0,98,0,98,25,9,64,0,0,0,0
"CHART:20260906-132536-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu",100,1415,1415,0,9,13,961,432,22,1393,617,28,770,25,27,13,549
"CHART:20260906-132704-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu",76,1078,1078,0,33,17,842,186,50,1028,360,67,651,26,13,17,260
"CHART:20260906-132812-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
