chart_id,family,seed,opportunity,proposal_id,parent_id,anchor_time,anchor_beat,end_time,end_beat,lane,membership,action,rng_before,rng_after
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005405-LnInterior-S53-T8240-A8240",0c0598f7c40832fc0466305a4fea7814b84782ef4dc4385c32ff585830b59006,O00000053,8240,23,249599999999993800106666667,8666,24,499199999999993466880000001,4,NoObservedRelation,ABSTAIN,110,110
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005412-LnInterior-S181-T19064-A19064",687c6daefc843a8a22586f7e094f479db5038fd1cbaa4e7a5f531e04cfa64327,O00000181,19064,54,999999999999985333333333333,19107,55,12613333333331863303111111,2,NoObservedRelation,ABSTAIN,314,314
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005415-LnInterior-S221-T20981-A20981",5c494896d63774df16ad5440446fb30ffed02d9b8550144c9c5e8552584c43b8,O00000221,20981,60,623199999999983833813333333,21109,60,998666666666650400355555556,5,NoObservedRelation,ABSTAIN,356,356
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005425-LnInterior-S2003-T100029-A100029",037c9d2c34575c67831b17ba7ab8ac392dc9f4d892dc16e15fa8cfd1bde6b5bf,O00002003,100029,292,49733333333325533404444444,100114,292,74666666666658860088888888,3,NoObservedRelation,ABSTAIN,2493,2493
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005430-LnInterior-S2197-T111109-A111109",7578dc07b1fd1375541d01d04ad3eca5f125ef62be1a63a19628f744b3538416,O00002197,111109,324,99866666666658000035555556,111152,325,12479999999991330005333334,2,NoObservedRelation,ABSTAIN,2744,2744
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005431-LnInterior-S2197-T111791-A111791",2b9b7c31a1978dd60995a8490a638ce6d4eaade29de17072456b48cb94b352f1,O00002197,111791,326,99919999999991280021333333,111834,327,12533333333324609991111111,2,NoObservedRelation,ABSTAIN,2751,2751
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005439-LnInterior-S2240-T116862-A116862",8aad690d392c24e03a0e94187f873833f34e5eebf517b0b0a9d8261e99300f64,O00002240,116862,341,87413333333324216689777778,116904,341,99733333333324213404444445,0,NoObservedRelation,ABSTAIN,2807,2807
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005436-LnInterior-S2239-T117245-A117245",687c6da496887d4983cce950b3e1936f99b2c3f89d3f1bd2b83c7b1af64c971b,O00002239,117245,342,99759999999990853397333333,117287,343,12079999999990850112000000,4,NoObservedRelation,ABSTAIN,2816,2816
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005449-LnInterior-S2611-T136762-A136762",0d9dceed8acb423a4249d7f493ecdf05f7950bd8d6bd6b7a9421c97af64f344a,O00002611,136762,400,24746666666655993400888889,136876,400,58186666666655984483555556,5,NoObservedRelation,ABSTAIN,3302,3302
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005451-LnInterior-S2636-T138211-A138211",a4e833da6b6f540149f4c70a2843a63341d0b72e25ed2afb823cc4a2abff0da9,O00002636,138211,404,49786666666655880056888889,138254,404,62399999999989210026666668,1,NoObservedRelation,ABSTAIN,3349,3349
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005452-LnInterior-S2686-T141620-A141620",55b0748b914eadc52688a0fa86d4dc982e29a049974cbfc08edd9f4cc216e9ab,O00002686,141620,414,49759999999988946730666667,141663,414,6237333333332227670044444,0,CandidateNotObserved,ABSTAIN,3437,3437
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005456-LnInterior-S2733-T144007-A144007",c442b9c04ad5feab8c3a8bb99019753c00b7bc2e55e4a54d504a24ebbba4bc9f,O00002733,144007,421,49946666666655426680888889,144049,421,62266666666655423395555557,0,CandidateNotObserved,ABSTAIN,3513,3513
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005463-LnInterior-S2809-T148652-A148652",9c897a4c7e18b55be6f3bc88c2bf8e800055b0520c4e5891e414e4c00e90d244,O00002809,148652,435,12479999999988396672,148694,435,24799999999988393386666663,5,NoObservedRelation,ABSTAIN,3650,3650
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005464-LnInterior-S2837-T149461-A149461",69ddc46a0515b161bd27223b1aadef9cd9a65666b744966bde624b5eb8b8aaec,O00002837,149461,437,49786666666655000056888889,149504,437,62399999999988330026666667,2,CandidateObservedAmongAlternatives,ADMIT,3678,3678
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005477-LnInterior-S3468-T181166-A181166",fed0e12976ccf7422215279714c3c47bf6a522eda651a5f9a270d2bc02877604,O00003468,181166,530,49919999999985853354666667,181208,530,62239999999985850069333329,4,CandidateNotObserved,ABSTAIN,4490,4490
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005402-LnInterior-S32-T4916-A4916",2453f9d1bca918992e0b3090898d381913e6f0a90fa339911759f9339a91d398,O00000032,4916,13,499199999999996400213333333,5342,14,748799999999996066986666666,0,CandidateNotObserved,ABSTAIN,65,65
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005403-LnInterior-S32-T5598-A5598",6e6548a070351a12d9a292b71a670a0c557f6cd0e07f15ba2faa61c2bd1a9c4b,O00000032,5598,15,499733333333329200071111111,6024,16,749333333333328866844444445,4,NoObservedRelation,ABSTAIN,71,71
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005409-LnInterior-S108-T13609-A13609",b769766bf90e4d70b62c83a0922eef88aa654540df119af6b5d0d6eb654cdcc5,O00000108,13609,38,998666666666656267022222222,13694,39,24799999999998953386666667,1,NoObservedRelation,ABSTAIN,184,184
