family,runs,evaluated,admit,abstain,control_added,treatment_added,delta
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",20,0,0,0,31876,31876,0
"A-ONE | SIDE BY SIDE | KURISU MAKISE",20,0,0,0,38109,38109,0
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",20,0,0,0,16949,16949,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",20,67,4,63,4134,4097,-37
"KIKUO | KARA KARA KARA NO KARA | XNETT",20,106,5,101,57600,57502,-98
"MORO | HOLY BITCH | ITZBENJA616",20,0,0,0,49363,49363,0
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",20,359,67,292,19612,19348,-264
"NMK&WATHUE | CELESTIAL AXES | WONKI",20,50,24,26,19680,19650,-30
"NOWISEE | KO INU | RUKA",20,358,17,341,20851,20495,-356
"ORGT | DESTINY | BAIO",20,54,0,54,12364,12329,-35
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",20,12,0,12,30707,30695,-12
