chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,4,3,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,7,4,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,3,0,0,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,4,3,2,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,5,1,1,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,6,2,2,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,3,3,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,3,3,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,9,3,2,0,1,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,10,6,6,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,11,4,4,0,3,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,12,6,4,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,13,3,3,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,14,3,3,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,15,6,5,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,16,5,5,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,17,2,6,0,4,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,18,2,1,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,19,1,1,0,0,0,0
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,20,4,4,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,1,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,2,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,3,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,4,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,5,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,6,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,7,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,8,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,9,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,10,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,11,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,12,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,13,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,14,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,15,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,16,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,17,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,18,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,19,0,0,0,0,0,0
0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,20,0,0,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,1,5,5,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,2,4,4,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,3,5,5,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,4,6,6,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,5,9,9,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,6,12,11,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,7,7,7,0,0,0,0
