chart_id,seed,arm,violation_id,violation_kind,classification,root_cause,mutation_id,mutation_sequence,opportunity_id,source_object,anchor,candidate,lane,object_type,tap_time,blocking_ln_id,blocking_ln_lane,blocking_ln_start,blocking_ln_end,candidate_internal_beat,blocking_internal_end_beat,candidate_materialized_beat,blocking_materialized_end_beat,placement_accepted,hard_validity_result,internal_conflict,materialized_conflict,endpoint_operator_differs,geometry_stale,pre_geometry,post_geometry,pre_generation,post_generation,rng_before,rng_after,g1_divergence,g1_opportunity,opportunity_distance,full_reconverged,geometry_reconverged,rng_reconverged,serialization_changed,evidence_status
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",1,control,SAFE-CF56B2492A441FF73112A88A,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00000194-D0E37BDC545CA446C672,194,"OP-00000132-BaseHead-S132-T14632-ANA","L5|T14632|ETAP|Tap|S132|ONone|YFalse",,"L2|T14632|ETAP|Tap|S132|OHeadOpportunity|YTrue",2,Tap,14632,GEN-406B4844C81E03B5D6EFC6E3,2,14291,14632,41.999466666666655466808888889,41.999466666666655466808888887,41.999466666666655466808888889,41.999466666666655466808888889,True,TapOnHeldLongNote,False,True,False,False,820BC73239C77A46DA6D3ED05AA067D24F4BA58F02810F7B69C90338FC2590FF,7818BD03F5A2CDFDF53A41A0E61EC5DFB14F0C27C006BD30A9DC574989806E7B,DBC42071318D497111037FE1031095413B69363B1E495F51B027A273FB2948CD,6E9C73D41DE69164FB709F24588E89074B404BF630DD907206E5C3F950AC91F9,220,220,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",1,control,SAFE-10BE20AE44C563CDE56CE4E3,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00003507-27CA52E6EC2BEFAA0A82,3507,"OP-00002832-BaseHead-S2832-T148694-ANA","L2|T148694|ETAP|Tap|S2832|ONone|YFalse",,"L5|T148694|ETAP|Tap|S2832|OHeadOpportunity|YTrue",5,Tap,148694,GEN-5FADBD7DB894DD84CABB94B6,5,148652,148694,435.24799999999988393386666667,435.24799999999988393386666663,435.24799999999988393386666667,435.24799999999988393386666667,True,TapOnHeldLongNote,False,True,False,False,FE41E2B757994021FF999905E2A671FC5688DCBF867766ED97E8B10B7660E0C7,A01BA1ED10FEFE5864E8AC5522727F6EF40A8E94E736A3A6B30AB3B28AD0E16F,AB1AC2424E747FBE73BF7E372B992C2E039526D62DBD48313FE6E05F2698D538,A7FBFA1D777578CA98955767A6795DA165B146BA39A333C679D98E04465828C7,3652,3652,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",1,control,SAFE-CCDDFBBA27194F7019526273,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00004272-42F9788DAC3160EB39EB,4272,"OP-00003456-BaseHead-S3456-T178950-ANA","L4|T178950|ETAP|Tap|S3456|ONone|YFalse",,"L2|T178950|ETAP|Tap|S3456|OHeadOpportunity|YTrue",2,Tap,178950,GEN-B454CE1265E6CBA08641F266,2,178439,178950,523.99893333333319360028444444,523.99893333333319360028444443,523.99893333333319360028444444,523.99893333333319360028444444,True,TapOnHeldLongNote,False,True,False,False,0A8E304D562008EE9EE5DE2D5771EFF12BD62F76F3D99C59154A1C4D1E146C0D,4E8B3942BB47616981423CFEE3F23AFD1D7087398833789B4250A65941F2C430,A88852FAA0EC1A9E38FCF3326D7BC20028249B153EE1F0211CE9C6046E9FF456,3466386FD6AAAD0369205A79B3FEA16EABAC99C143BB01A5264CF80C5A07E464,4465,4465,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",1,control,SAFE-D3F8414F64394E49C30DD4FA,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00004420-487097CFD74DA627242C,4420,"OP-00003589-BaseHead-S3589-T190200-ANA","L2|T190200|ETAP|Tap|S3589|ONone|YFalse",,"L3|T190200|ETAP|Tap|S3589|OHeadOpportunity|YTrue",3,Tap,190200,GEN-BCBBED9E765A3E9B12F1795E,3,190029,190200,556.99893333333318480028444444,556.99893333333318480028444442,556.99893333333318480028444444,556.99893333333318480028444444,True,TapOnHeldLongNote,False,True,False,False,FB18591F6AEC28A6EEAF6D8511D7F8E369A0BEA6147B60B172F3C734DBA9DB48,6959032331A1E8EF5F3A9F7033CA274775EFE21CB12213E4C487A3E9003A7A16,2B71B976262B560C96CD5FBBFC56783A5EE6A6277A27C2CA9385BF2D7FAF921E,918B0AA4A07689DF3D2BB9FDF3ECE6FB0EE0A49B2658B3AEE20F99E68FE5B5FA,4621,4621,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-6B4D2F933136A54BCAE7DE92,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00001018-5F78ED66E8B13B382661,1018,"OP-00000785-BaseHead-S785-T55967-ANA","L3|T55967|ETAP|Tap|S785|ONone|YFalse",,"L5|T55967|ETAP|Tap|S785|OHeadOpportunity|YTrue",5,Tap,55967,GEN-8634CBD81F83B66D9DD17D38,5,55882,55967,163.24879999999995646698666667,163.24879999999995646698666666,163.24879999999995646698666667,163.24879999999995646698666667,True,TapOnHeldLongNote,False,True,False,False,52C0FEF46310047533AD50646849C53DCA82EAB5EAD107A7416FDAD91CB381BF,EB031D1C6DF51837F08983D9AEB5E8C54F5A8F0D9EE4B237D637824D6553442A,8FD6244E377DD8A60ECFC72F41D8CD4F8C2D243152AA18BC6F5B9150B9D46DF4,E8AD0E13244DAA797C494E131997E3CE881DE959B356616A4963852FCD92C4F1,1072,1072,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-10BE20AE44C563CDE56CE4E3,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00003518-F476C239C8D1A197E2E2,3518,"OP-00002832-BaseHead-S2832-T148694-ANA","L2|T148694|ETAP|Tap|S2832|ONone|YFalse",,"L5|T148694|ETAP|Tap|S2832|OHeadOpportunity|YTrue",5,Tap,148694,GEN-A4F145D8BEDD7DBB57953731,5,148652,148694,435.24799999999988393386666667,435.24799999999988393386666663,435.24799999999988393386666667,435.24799999999988393386666667,True,TapOnHeldLongNote,False,True,False,False,3620F48275CEDF7C0DE0C191A76ABAEE512E862EE3DF27CD8F4FA1BF1DEF01DD,604B6E81C9F166342BE34FED3029B005FA94C753AA079020BFA6CF776D58E0CE,EB6A54B9140F666ACEDA1BF8995F6C9D5EF12CF54DDE5725C4E80ED3891B592A,AB3E5EDEB2601E57B3655F718A86551E8E009593D2D4F207940E15FF44D4CAD5,3661,3661,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-F26F0911FF28A00A46B372C0,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00003836-66A73AA3988ECF65D5BB,3836,"OP-00003073-BaseHead-S3073-T163268-ANA","L4|T163268|ETAP|Tap|S3073|ONone|YFalse",,"L2|T163268|ETAP|Tap|S3073|OHeadOpportunity|YTrue",2,Tap,163268,GEN-18B72E78D463ADE71B4A7A12,2,163183,163268,477.99839999999987253376,477.99839999999987253375999996,477.99839999999987253376,477.99839999999987253376,True,TapOnHeldLongNote,False,True,False,False,B72EF8C4B6E3A9A4EE59613619CE8A833B43FFF73B69161002DC2862B96628CE,B4E80DF90F682E1C2E9767CC74974A88C0FA51CCF725BAC91156BDC89BC70354,774DD00F0CE49205880985C9CBA299644A038AB65E075515E863F60924ED2B27,59119E1CFADD7036C56E773A1F31C9FBA61ED7B28EB24FE7B34CEAB2DC6CAB69,4005,4005,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-CCDDFBBA27194F7019526273,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00004273-15650CB03AE5F8441B1D,4273,"OP-00003456-BaseHead-S3456-T178950-ANA","L4|T178950|ETAP|Tap|S3456|ONone|YFalse",,"L2|T178950|ETAP|Tap|S3456|OHeadOpportunity|YTrue",2,Tap,178950,GEN-A225A7204B8F6FD230342EF0,2,178439,178950,523.99893333333319360028444444,523.99893333333319360028444443,523.99893333333319360028444444,523.99893333333319360028444444,True,TapOnHeldLongNote,False,True,False,False,32A8D31DE993847AC5A515E396B745BA35DF8CB947F74821BFABA32B77F0FF3D,7D585516A1E908B26DD8B422FA39605F8677FEB8F8D07A0CF66697EB073D82BA,93CEFF6107D378AE812C3EA4BA0E00078EF428AC8DA88772686EE07F5B41925F,13BCC12ED644EFCA86DEE28CEE40B3BC5ED70FDEEA4CFC77DE24A1212392632B,4454,4454,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-356E41BC2928AFCBB27AF4F9,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00005238-62B82193E30DB5DAA1FC,5238,"OP-00004283-BaseHead-S4283-T215683-ANA","L2|T215683|ETAP|Tap|S4283|ONone|YFalse",,"L6|T215683|ETAP|Tap|S4283|OHeadOpportunity|YTrue",6,Tap,215683,GEN-E465CDD7C314F783EFCD9A4E,6,215598,215683,631.74906666666649820024888889,631.74906666666649820024888887,631.74906666666649820024888889,631.74906666666649820024888889,True,TapOnHeldLongNote,False,True,False,False,55EEBF8A46D69F0874BEEC03F855D60622F9D97692771BD4C43F312EB531572B,CBBA740BDADDA6377E75C56E919027E7E784573E377F8C100B259FAEE7081804,55398FD6FA49C04D611FAC04639EF02378B9CF1884FD8DEEE7E21C01EE530C33,9B22D6807C7A5DC251348199921CB0C2EA29565FD60A446D6D35044EED2AA404,5453,5453,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",2,control,SAFE-935C732E4C84CDA3C946D3A9,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00005442-823E1F697A36A85D8A93,5442,"OP-00004455-BaseHead-S4455-T221819-ANA","L3|T221819|ETAP|Tap|S4455|ONone|YFalse",,"L2|T221819|ETAP|Tap|S4455|OHeadOpportunity|YTrue",2,Tap,221819,GEN-BFC382ADD8FCD0D94A15983D,2,221734,221819,649.74799999999982673386666667,649.74799999999982673386666666,649.74799999999982673386666667,649.74799999999982673386666667,True,TapOnHeldLongNote,False,True,False,False,789632F7BD3FBD29170362F33F46538794F8A4236E8966600E1F6F7BBDB3A3D9,CB9A1AE76D1BD372B447B6B532F447C1D1BCCAEEC18224A9BB0D96EF506D453B,80C3D44526F25A38034711F69EE94EECD891C10AF0711E83FE12DB9062CD04D7,3C515309FACEC238650AB194762D672825B632827869BE64C383E101EAD81528,5659,5659,,,,False,False,False,False,PROVEN_EXACT_REPLAY
