stratum,chart_id,seed,frozen_arm,opportunity_key,lane,start_time,end_time,frozen_known,historical_class,hardened_class,direct_reject,lineage_id,divergence_opportunity,divergence_control_state,divergence_treatment_state,parent_states_different,no_reconvergence_before_case,target_absent_in_treatment,candidate_shape_reached_in_treatment,frozen_lane_selected_in_treatment,frozen_commit_absent_in_treatment,divergence_governed_by_canonical,temporal_only_explanation,evidence
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00003589-BaseHead-S3589-T190200-ANA",3,190200,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-F24EE9A625802A777662FF15","OP-00000132-BaseHead-S132-T14632-ANA",23E1ECDB755A92EB95894B552F7BA2ED7B120CA003FF0110C5A9F7AEBC484C69,816F0D14B87D866A867F19112A0476E07EDB65E7ADA8E70F0DDDC457FF6D3E33,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004470-BaseHead-S4470-T222416-ANA",1,222416,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-548ED9D227B29F519914AEE3","OP-00003072-BaseHead-S3072-T163268-ANA",2B752B7A86A5F44A6A6BAC580C9BC59B54F0C4463EF77AA31CB672450BA1905D,D4E3E299150DF152D106792F158E539FE4D932116504DC4BF4F44F6C2C4164D2,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,12,control,"OP-00000135-BaseHead-S135-T14632-ANA",2,14632,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-54A4283398EB22A151D15417","OP-00000126-BaseHead-S126-T13950-ANA",D1792D083B46B61666F899ADC673E6C9BFD5A5A9E8BDE54D4BF0CE92C8B90195,108AF319E4E862CCD44D4DDF80493570C034EFE9CCAA9970F45FB92C7FADA03D,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,14,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-C1B8769F5A5C4FAB1614A059","OP-00001451-BaseHead-S1451-T81194-ANA",4D2400C080837B1C4CA18706ECE27FDA4346D8F0E82ACDD8F3551287B2290C06,AA9C48CB731EBD2A67CA5CE646EE1D7623F9C4DCB736D40D525B36E80A7A3EB3,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,15,control,"OP-00003850-BaseHead-S3850-T200427-ANA",5,200427,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-9CAF697C8222FCB8C7C4521D","OP-00000674-BaseHead-S674-T51961-ANA",C5533831EB2E3BB539FED14F2A707538B298C97BBA3B8D5DCC33D153FABF30FF,3F1FB83BA0E3ED1E042C37EA9A816DEC0578F3D1FD75385C3E69308BF97DF82F,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,16,control,"OP-00003953-BaseHead-S3953-T204262-ANA",0,204262,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-868E813658F6DF46F6385E7F","OP-00001379-BaseHead-S1379-T78637-ANA",8F83367EFDD69206A9CF219133C56EE88C9562E4FCB57D04CF40D4CF735E3A4F,3FDE63DD10516B9DECC64929DB3CC49922C3B1AAA37A9D48C16C0C429CBB8E9A,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,16,control,"OP-00004447-BaseHead-S4447-T221564-ANA",1,221564,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-868E813658F6DF46F6385E7F","OP-00001379-BaseHead-S1379-T78637-ANA",8F83367EFDD69206A9CF219133C56EE88C9562E4FCB57D04CF40D4CF735E3A4F,3FDE63DD10516B9DECC64929DB3CC49922C3B1AAA37A9D48C16C0C429CBB8E9A,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,3,control,"OP-00001936-BaseHead-S1936-T110572-ANA",5,110572,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-BE75AFE7197441CC21BBB903","OP-00000370-BaseHead-S370-T29933-ANA",D4B03CDFB0D24E79939500C78BE9BCAB804DACF1D8677CA58EF15191088AB231,3A0766F1A1E70D3D4C08D1DE933DD28F25FB33A58EE391481AD132BC00AB3051,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,3,control,"OP-00006160-BaseHead-S6160-T296527-ANA",1,296527,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-BE75AFE7197441CC21BBB903","OP-00000370-BaseHead-S370-T29933-ANA",D4B03CDFB0D24E79939500C78BE9BCAB804DACF1D8677CA58EF15191088AB231,3A0766F1A1E70D3D4C08D1DE933DD28F25FB33A58EE391481AD132BC00AB3051,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
