stratum,chart_id,seed,frozen_arm,opportunity_key,lane,start_time,end_time,frozen_known,historical_class,hardened_class,direct_reject,lineage_id,divergence_opportunity,divergence_control_state,divergence_treatment_state,parent_states_different,no_reconvergence_before_case,target_absent_in_treatment,candidate_shape_reached_in_treatment,frozen_lane_selected_in_treatment,frozen_commit_absent_in_treatment,divergence_governed_by_canonical,temporal_only_explanation,evidence
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00000132-BaseHead-S132-T14632-ANA",2,14632,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"","",,,false,false,true,true,false,true,false,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00002832-BaseHead-S2832-T148694-ANA",5,148694,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-F24EE9A625802A777662FF15","OP-00000132-BaseHead-S132-T14632-ANA",23E1ECDB755A92EB95894B552F7BA2ED7B120CA003FF0110C5A9F7AEBC484C69,816F0D14B87D866A867F19112A0476E07EDB65E7ADA8E70F0DDDC457FF6D3E33,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00003456-BaseHead-S3456-T178950-ANA",2,178950,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-F24EE9A625802A777662FF15","OP-00000132-BaseHead-S132-T14632-ANA",23E1ECDB755A92EB95894B552F7BA2ED7B120CA003FF0110C5A9F7AEBC484C69,816F0D14B87D866A867F19112A0476E07EDB65E7ADA8E70F0DDDC457FF6D3E33,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00003589-BaseHead-S3589-T190200-ANA",3,190200,,true,B_EARLIER_GOVERNED_DIVERGENCE,B_CAUSALLY_PROVEN_UNREACHABLE,false,"SRG-DIV-F24EE9A625802A777662FF15","OP-00000132-BaseHead-S132-T14632-ANA",23E1ECDB755A92EB95894B552F7BA2ED7B120CA003FF0110C5A9F7AEBC484C69,816F0D14B87D866A867F19112A0476E07EDB65E7ADA8E70F0DDDC457FF6D3E33,true,true,true,false,false,true,true,false,"A prior canonical-governed commit divergence left unequal complete parent state; no sufficient-state reconvergence occurred and the exact frozen lane-level proposal was not selected or committed in treatment."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00000785-BaseHead-S785-T55967-ANA",5,55967,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"","",,,false,false,true,true,false,true,false,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00002832-BaseHead-S2832-T148694-ANA",5,148694,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00003073-BaseHead-S3073-T163268-ANA",2,163268,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00003456-BaseHead-S3456-T178950-ANA",2,178950,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004455-BaseHead-S4455-T221819-ANA",2,221819,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-72D7CECF55ED17BE34EC6038","OP-00000785-BaseHead-S785-T55967-ANA",BFC49E2A45FF5C5947404826C054263EF471B2AE68C4F401C54A2B939872F415,7B1C72AD2C10CC15160B87900BF3A27399B2A5118F77A351CF0F731DC3DA5445,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
