stratum,chart_id,seed,control_added,treatment_added,control_taps,treatment_taps,control_lns,treatment_lns,control_output_sha256,treatment_output_sha256,control_hard_violations,treatment_hard_violations,treatment_only_violations,control_only_violations,control_geometry_set_differences,treatment_geometry_set_differences,frozen_selected_lane_rejects,control_rng_calls,treatment_rng_calls,control_rng_sha256,treatment_rng_sha256,first_governed_divergence,first_full_state_reconvergence,control_reparse_exact,treatment_reparse_exact,default_reference_exact,treatment_deterministic,g1_evidence_invariant,control_gate_rng_calls,treatment_gate_rng_calls
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,1029,1029,786,786,243,243,3366375A105704F77120FDB9E87BCF8517CD66B55CDE10F5617339431CFBB01D,724296D295DE17903B2360001872920808067770CE38349AA631063902F1FEB1,4,0,0,4,9,11,4,6772,6772,FD55379BAF79D88271F7CA2416FB7602981459B2BB37FC9E3AA359492DB5CEDB,5860DB380D115A293AC654809C69442A3C518F2641C1F5A09E5B24E7A28B8ED1,"OP-00000132-BaseHead-S132-T14632-ANA","OP-00005402-LnInterior-S32-T4916-A4916",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,1042,1033,805,799,237,234,1D60BDA228AEE24A06E8F7B34407C1AE795373E2DC685B2CEF3F7EA98A3D44D6,C471C529D3A73F0DD64B56DA4EF5D1A2F24BC485D5A593947FBFF51975D404BC,7,0,0,7,8,7,7,6779,6767,AC9F90D945C5ABA5188733DEA84D030D456BE595E8FC38A9A6892C741E8DE067,22029AAAAE9A78D89F2600AD37889C9BFDF8C49ED145C77906CE9FEA980264C1,"OP-00000785-BaseHead-S785-T55967-ANA","OP-00005402-LnInterior-S32-T4916-A4916",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,3,1036,1036,789,789,247,247,1D3E9E7C7E9ECC99B53881D4546B3C8726B265AB3335959C6DA004EE3782F09C,1D3E9E7C7E9ECC99B53881D4546B3C8726B265AB3335959C6DA004EE3782F09C,0,0,0,0,0,0,0,6783,6783,AF034FAFE7580598E9699A5FBCF9C51E7DD9339E9A0AE9702863D3438E3B1745,AF034FAFE7580598E9699A5FBCF9C51E7DD9339E9A0AE9702863D3438E3B1745,"","",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,4,1013,1014,759,761,254,253,43B9BD3193DB0FA4F9A5A8A9529013BC060048A7A46DBDF32419080CA750C61B,8FFE29C89E5AE2F754F0B23835577CAD8F9FAE6E39997724C81511994A619860,3,0,0,3,5,6,3,6767,6767,814EDBC8BE33FBF411F4C67A313B5C20B46219130319BD2E63EBAAA3616CD13C,A61C5A296D45CF9EA5E999DB672113CBFFE133199746EF9C79E6409C13E3F25E,"OP-00000083-BaseHead-S83-T10967-ANA","OP-00005400-LnInterior-S11-T2189-A2189",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,5,1034,1034,815,815,219,219,0A3AC4F9AD5DEEEA029B2659135235B4C7819E2D3BF89F85B3909CF76C06AC94,50F4D5C8BF064977A402E50C1D7540310384197F9BE89D5AC8A485B842315CAD,1,0,0,1,2,2,1,6753,6753,28DF07558176DA885F9F0B73E43220F69883DD5996901E0CF238B63524EBD889,E1CC638007CB8B5A73ED53EA41C743D9F69708588E3CDF9B90701329EE9A41A5,"OP-00000659-BaseHead-S659-T51279-ANA","OP-00005400-LnInterior-S11-T2189-A2189",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,6,1007,1010,776,782,231,228,223CE8F6E53B666BB88AFA5DAC3984126CF24B15895BF96A65BE6670214DF375,CDF60FE992ECE4D28FA05C753AC45792F4A358EBB48EDA6F614786CB899EA9F8,2,0,0,2,5,4,2,6738,6738,4D180E8EB343E582592A6D27E81E7ADC748C197A8FAAAEC5133BDD996F9D55D7,989B0CAF9EE767EE8AD29644F9BB082B0DCBAE0B8B38DCF18DF48AF6AB753F72,"OP-00000659-BaseHead-S659-T51279-ANA","OP-00000660-BaseHead-S660-T51365-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,1036,1036,789,789,247,247,3DE9CF14E30C4FDE6009D876383C181BC8A74DDF0A1292E8A548E70186E907D5,1FA931A9C36FCD58FCAC7071F7A7B866748CE39EB8E52166F98C413F3AD3CD9C,3,0,0,3,4,5,3,6783,6783,540AAB3BB6491FA3D0DDA9DF06CB02A2478C3DAD4A29AFD1D8CD9D93E9CF50A7,E02BC70361CBDE747E08BB0517FBEB84CEFD87280AE65D017EBBFDFECE42ECFB,"OP-00000132-BaseHead-S132-T14632-ANA","OP-00005400-LnInterior-S11-T2189-A2189",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,1104,1079,846,832,258,247,533F935C91873A49F1CE2C15353EBED98C03B841538DD0D9532291C17415BDF4,97024A1D7F547D53A303B52F5DE9521DAC173B11405BD83902244C230C5539F4,3,0,0,3,4,5,3,6862,6826,89744CF7DC4DF12F382DA905993D94F016987F0124430D66A138F97E48D3AC8A,69796A318C3360A74A439F197D61445238F6D247ED0E0A628A458D5EE3E2E1B7,"OP-00002832-BaseHead-S2832-T148694-ANA","OP-00002834-BaseHead-S2834-T148779-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,9,1044,1042,791,787,253,255,4B807B6008ADE2B11F7232EA5AF09781EE7A186D31A488C497F68F4ACC2D1052,FDCCFA06DEF41DB9EE21292E7D3E70BDFA1B9E9030609B4057BBE04E7F19F181,3,0,0,3,9,10,3,6797,6797,AF615AF5F73D14899463CC1B06B4E2FF4BB5A4C9B0954A30BFAF1DB0BED372BC,94417236AC61BED515A2CFDA3B5CF67349A159FC1492E9951805266FAFDDD548,"OP-00000154-BaseHead-S154-T16336-ANA","OP-00000155-BaseHead-S155-T16336-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,10,1059,1059,817,817,242,242,128AAB020A4040366AA5AE0209DE8CC8CA5EFB312750C78A24FDDD829777939F,999B3766F737011E25165FAA8308A6440A130724CF90BCCD49A0F82EEE32BC69,6,0,0,6,7,7,6,6801,6801,9273F4A86F47E6CB41722764EE945BB5FFAC0357C832DB064DA1FF35E2D3F82D,A863A1EEBC42E175847E93224220D2377833AE8A4D9EF5F78F0978AC3E31870D,"OP-00000135-BaseHead-S135-T14632-ANA","OP-00005405-LnInterior-S53-T8240-A8240",true,true,true,true,true,0,0
