candidate,arm,object_type,collision_surface,transition,known_safety_causal_case,count
MaterializedGeometryCanonicalization,control,Tap,None,UnchangedAccept,false,262948
MaterializedGeometryCanonicalization,control,Tap,TapOnHeldLongNote,AcceptToReject,true,200
MaterializedGeometryCanonicalization,control,LongNote,None,UnchangedAccept,false,38097
MaterializedGeometryCanonicalization,treatment,Tap,None,UnchangedAccept,false,4548
MaterializedGeometryCanonicalization,treatment,Tap,TapOnHeldLongNote,AcceptToReject,false,6
MaterializedGeometryCanonicalization,treatment,Tap,TapOnHeldLongNote,AcceptToReject,true,9
MaterializedGeometryCanonicalization,treatment,LongNote,None,UnchangedAccept,false,1359
CanonicalPreCommitHardValidity,control,Tap,None,UnchangedAccept,false,262948
CanonicalPreCommitHardValidity,control,Tap,TapOnHeldLongNote,AcceptToReject,true,200
CanonicalPreCommitHardValidity,control,LongNote,None,UnchangedAccept,false,38097
CanonicalPreCommitHardValidity,treatment,Tap,None,UnchangedAccept,false,4548
CanonicalPreCommitHardValidity,treatment,Tap,TapOnHeldLongNote,AcceptToReject,false,6
CanonicalPreCommitHardValidity,treatment,Tap,TapOnHeldLongNote,AcceptToReject,true,9
CanonicalPreCommitHardValidity,treatment,LongNote,None,UnchangedAccept,false,1359
SharedCanonicalPlayableGeometry,control,Tap,None,UnchangedAccept,false,262948
SharedCanonicalPlayableGeometry,control,Tap,TapOnHeldLongNote,AcceptToReject,true,200
SharedCanonicalPlayableGeometry,control,LongNote,None,UnchangedAccept,false,38097
SharedCanonicalPlayableGeometry,treatment,Tap,None,UnchangedAccept,false,4548
SharedCanonicalPlayableGeometry,treatment,Tap,TapOnHeldLongNote,AcceptToReject,false,6
SharedCanonicalPlayableGeometry,treatment,Tap,TapOnHeldLongNote,AcceptToReject,true,9
SharedCanonicalPlayableGeometry,treatment,LongNote,None,UnchangedAccept,false,1359
LatentValuesAsEvidenceOnly,control,Tap,None,UnchangedAccept,false,262948
LatentValuesAsEvidenceOnly,control,Tap,TapOnHeldLongNote,AcceptToReject,true,200
LatentValuesAsEvidenceOnly,control,LongNote,None,UnchangedAccept,false,38097
LatentValuesAsEvidenceOnly,treatment,Tap,None,UnchangedAccept,false,4548
LatentValuesAsEvidenceOnly,treatment,Tap,TapOnHeldLongNote,AcceptToReject,false,6
LatentValuesAsEvidenceOnly,treatment,Tap,TapOnHeldLongNote,AcceptToReject,true,9
LatentValuesAsEvidenceOnly,treatment,LongNote,None,UnchangedAccept,false,1359
